"Medición de la pobreza, Estados Unidos Mexicanos, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicadores de pobreza, por municipio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clave de entidad,Entidad federativa,Clave de municipio,Municipio,"Población*(leer nota al final del cuadro)",Pobreza,,,,Pobreza extrema,,,,Pobreza moderada,,,,Vulnerables por carencia social,,,Vulnerables por ingreso,,No pobres y no vulnerables,,Rezago educativo,,Carencia por acceso a los servicios de salud,,Carencia por acceso a la seguridad social,,Carencia por calidad y espacios de la vivienda,,Carencia por acceso a los servicios básicos en la vivienda,,Carencia por acceso a la alimentación,,Población con al menos una carencia social,,Población con tres o más carencias sociales,, Población con ingreso inferior a la línea de bienestar,,Población con ingreso inferior a la línea de bienestar mínimo,,Coeficiente de Gini,Razón del ingreso entre la población pobre extrema y la población no pobre y no vulnerable1
,,,,,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Intensidad,Porcentaje,Personas,Carencias,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,Porcentaje,Personas,,
5,Coahuila,5011,General Cepeda,"13,890",58.7,"8,154",2.2,0.21,11.7,"1,620",3.5,0.07,47,"6,535",1.9,0.15,25.5,"3,538",1.8,8.1,"1,124",7.7,"1,074",23.1,"3,202",31.9,"4,427",66,"9,172",4.8,671,21.6,"3,007",27.6,"3,840",84.2,"11,693",25.6,"3,551",66.8,"9,278",33.7,"4,677",0.523,0.09
5,Coahuila,5012,Guerrero,"2,156",29.8,642,2.3,0.11,4.4,94,3.6,0.03,25.4,548,2.1,0.09,50.6,"1,091",1.8,4.8,104,14.8,318,24.9,538,27.5,593,57.4,"1,238",7.3,157,21.4,460,19.4,419,80.4,"1,733",23.4,505,34.6,747,9.6,207,0.393,0.15
5,Coahuila,5013,Hidalgo,"1,905",40.1,764,2.5,0.17,6.7,127,3.7,0.04,33.4,637,2.3,0.13,46.1,879,2.2,3.1,58,10.7,204,17.9,341,48.3,919,67.5,"1,285",5.1,97,21.5,409,40.7,776,86.2,"1,642",31.8,605,43.1,822,13.9,264,0.358,0.17
5,Coahuila,5014,Jiménez,"8,496",48.3,"4,099",2,0.16,5.6,475,3.6,0.03,42.7,"3,624",1.8,0.13,36.1,"3,064",1.7,6.4,546,9.3,786,24.2,"2,054",17.5,"1,483",51.2,"4,354",9.1,771,41.5,"3,522",17.5,"1,483",84.3,"7,164",20.8,"1,765",54.7,"4,645",19.5,"1,656",0.347,0.2
5,Coahuila,5015,Juárez,"1,647",47.1,776,2,0.16,5.2,86,3.4,0.03,41.9,690,1.9,0.13,42.2,695,1.8,3.5,58,7.2,118,19.1,314,28.4,468,74.4,"1,225",4,65,19.5,321,25.3,417,89.3,"1,471",22.9,377,50.6,833,17,280,0.366,0.16
5,Coahuila,5016,Lamadrid,"1,698",29.2,497,1.7,0.08,1.6,28,3.2,0.01,27.6,469,1.6,0.07,43,731,1.5,6.6,111,21.2,359,16.4,278,19,322,53.7,912,2.8,47,10.5,178,13,220,72.3,"1,228",10.3,175,35.8,608,8.2,139,0.396,0.16
5,Coahuila,5017,Matamoros,"97,369",37.2,"36,265",2,0.13,4.4,"4,239",3.5,0.03,32.9,"32,025",1.8,0.1,31,"30,156",1.8,9.5,"9,270",22.3,"21,678",19.2,"18,694",24.9,"24,279",42.4,"41,239",6.4,"6,212",12.2,"11,881",25.1,"24,443",68.2,"66,421",16.7,"16,247",46.8,"45,535",13.3,"12,968",0.383,0.17
5,Coahuila,5018,Monclova,"230,887",19.1,"44,125",1.8,0.06,1.2,"2,837",3.4,0.01,17.9,"41,288",1.7,0.05,26.7,"61,726",1.5,10.8,"24,855",43.4,"100,181",8.2,"18,964",12.6,"29,175",26.8,"61,876",5.5,"12,690",3.3,"7,627",16.8,"38,774",45.8,"105,851",6.3,"14,459",29.9,"68,980",5.9,"13,589",0.409,0.14
5,Coahuila,5019,Morelos,"9,515",31.2,"2,967",1.8,0.09,2,188,3.4,0.01,29.2,"2,779",1.7,0.08,29.9,"2,845",1.6,11.8,"1,126",27.1,"2,577",11.5,"1,096",14.4,"1,368",37.5,"3,572",8.3,785,16.6,"1,583",16.2,"1,541",61.1,"5,812",9.3,887,43,"4,093",11.5,"1,097",0.4,0.14
5,Coahuila,5020,Múzquiz,"63,144",35.3,"22,310",1.8,0.11,3.2,"1,994",3.3,0.02,32.2,"20,316",1.6,0.09,23.2,"14,642",1.5,15.8,"9,958",25.7,"16,234",14.3,"9,021",10.2,"6,465",29.6,"18,667",8.8,"5,531",12,"7,567",23.8,"15,007",58.5,"36,952",9.8,"6,202",51.1,"32,269",15.4,"9,699",0.377,0.16
