"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,GOMEZ FARIAS, 1 062,  981,  81,  72,  633,  24,
,GONZALEZ, 5 030, 4 426,  604,  84, 3 155,  83,
,G_MEZ                                  0, 2 067, 1 779,  288,  11,  624,  40,
,GUERRERO,  432,  351,  81,  6,  261,*,
,GUSTAVO DIAZ ORDAZ, 1 204, 1 034,  170,  13,  765,  10,
,HIDALGO, 3 942, 3 635,  307,  100, 1 010,  62,
,JAUMAVE, 1 987, 1 836,  151,  29,  552,  37,
,JIMENEZ, 1 007,  879,  128,  16,  269,  23,
,LLERA, 2 868, 2 625,  243,  25,  985,  45,
,MAINERO,  620,  538,  82,  4,  171,  14,
,"MANTE,EL", 7 679, 7 138,  541,  63, 4 680,  119,
,MATAMOROS, 6 613, 5 428, 1 185,  46, 3 900,  80,
,MENDEZ, 1 366, 1 148,  218,*,  94,  15,
,MIER,  297,  242,  55,  3,  526,-,
,MIGUEL ALEMAN,  746,  518,  228,  7,  630,-,
,MIQUIHUANA,  783,  709,  74,  9,  65,  9,
,NUEVO LAREDO,  706,  561,  145,  34,  484,  13,
,NUEVO MORELOS,  614,  570,  44,  6,  220,  6,
,OCAMPO, 2 364, 2 180,  184,  42,  760,  35,
,PADILLA, 1 722, 1 409,  313,  46,  941,  22,
,PALMILLAS,  407,  346,  61,  19,  107,  5,
,REYNOSA, 4 526, 4 322,  204,  87, 4 813,  80,
,RIO BRAVO, 5 380, 4 911,  469,  29, 2 842,  34,
,SAN CARLOS, 2 192, 1 780,  412,*,  345,  46,
,SAN FERNANDO, 8 591, 7 668,  923,  21, 1 755,  73,
,SAN NICOLAS,  163,  120,  43,  4,  61,  5,
,SOTO LA MARINA, 3 126, 2 430,  696,  10,  816,  61,
,TAMPICO,  29,  9,  20,  23, 2 468,*,
,TULA, 4 364, 3 872,  492,  23,  737,  58,
,VALLE HERMOSO, 2 971, 2 878,  93,  14,  764,  23,
,VICTORIA, 2 572, 2 141,  431,  103, 9 041,  44,
,VILLAGRAN, 1 525, 1 384,  141,  8,  88,  32,
,XICOTENCATL, 2 414, 2 209,  205,  14, 1 624,  44,
TLAXCALA,, 76 816, 67 446, 9 370,  573, 17 509,  240,
,AMAXAC DE GUERRERO,  522,  510,  12,  4,  38,*,
,APETATITLAN DE ANTONIO CARVAJAL,  510,  499,  11,*,  85,-,
,ATLANGATEPEC,  822,  713,  109,-,  92,  4,
,ALTZAYANCA, 2 072, 1 965,  107,  22,  233,  17,
,APIZACO, 1 553, 1 391,  162,  22,  443,  4,
,CALPULALPAN, 2 164, 2 137,  27,  16,  273,  12,
,"CARMEN TEQUEXQUITLA, EL", 1 557,  861,  696,  9,  176,*,
,CUAPIAXTLA, 1 501, 1 434,  67,  5,  156,  11,
,CUAXOMULCO,  648,  544,  104,  8,  69,*,
,CHIAUTEMPAN, 3 799, 3 640,  159,  25, 1 171,  6,
,MUÑOZ DE DOMINGO ARENAS,  740,  717,  23,-,  74,  5,
,ESPAÑITA, 1 381, 1 306,  75,  4,  72,  12,
,HUAMANTLA, 4 092, 3 871,  221,  38,  968,  26,
,HUEYOTLIPAN, 1 936, 1 855,  81,  3,  175,  14,
,IXTACUIXTLA DE MARIANO MATAMOROS, 4 169, 3 649,  520,  23,  716,  17,
,IXTENCO, 1 718, 1 243,  475,*,  68,*,
,MAZATECOCHCO DE JOSE MARIA MORELOS, 1 038,  705,  333,  4,  86,*,
,CONTLA DE JUAN CUAMATZI, 2 037, 1 553,  484,  4,  263,-,
,TEPETITLA DE LARDIZABAL, 2 040, 1 371,  669,  12,  385,*,
,SANCTORUM DE LAZARO CARDENAS, 1 524, 1 481,  43,  10,  272,  4,
,NANACAMILPA DE MARIANO ARISTA, 1 185, 1 130,  55,  7,  166,  5,
,ACUAMANALA DE MIGUEL HIDALGO,  862,  855,  7,*,  225,-,
,NATIVITAS, 3 531, 3 049,  482,  40,  628,  16,
,PANOTLA, 2 989, 2 705,  284,  4,  210,  6,
,SAN PABLO DEL MONTE, 2 627, 2 519,  108,  34, 1 683,-,
,SANTA CRUZ TLAXCALA, 1 353, 1 240,  113,  4,  135,  4,
,TENANCINGO,  925,  804,  121,  8,  228,-,
,TEOLOCHOLCO, 1 554, 1 373,  181,*,  425,*,
,TEPEYANCO, 1 671, 1 463,  208,  7,  405,-,
,TERRENATE, 2 092, 2 001,  91,  11,  162,  10,
,TETLA, 1 777, 1 634,  143,  22,  242,  6,
,TETLATLAHUCA, 1 969, 1 793,  176,  27,  511,  3,
,TLAXCALA, 1 463, 1 239,  224,  39, 1 344,*,
,TLAXCO, 3 972, 3 741,  231,  38,  541,  28,
,TOCATLAN,  552,  552,-,  8,  92,*,
,TOTOLAC,  416,  382,  34,*,  463,-,
,ZITLALTEPEC DE TRINIDAD SANCHEZ S., 1 269, 1 269,-,  6,  125,  3,
,TZOMPANTEPEC, 1 593, 1 287,  306,  16,  222,  3,
,XALOZTOC, 1 330,  964,  366,  14,  361,*,
,XALTOCAN, 1 935, 1 765,  170,  4,  197,  6,
,PAPALOTLA DE XICOHTENCATL, 1 241, 1 156,  85,*,  611,-,
,XICOTZINGO,  276,  272,  4,  11,  539,-,
,YAUHQUEMEHCAN, 1 138, 1 104,  34,  7,  184,-,
,ZACATELCO, 3 273, 1 704, 1 569,  46, 1 995,  3,
VERACRUZ,, 457 596, 388 822, 68 774, 5 085, 224 737, 3 620,
,ACAJETE,  974,  624,  350,  4,  305,*,
,ACATLAN,  551,  434,  117,-,  38,*,
,ACAYUCAN, 2 858, 2 582,  276,  56, 2 628,  31,
,ACTOPAN, 6 511, 4 968, 1 543,  34, 2 362,  27,
,ACULA,  469,  439,  30,  3,  193,  7,
,ACULTZINGO, 1 895, 1 635,  260,  13,  698,  16,
,CAMARON DE TEJEDA,  632,  624,  8,  11,  350,  5,
,ALPATLAHUAC, 1 711, 1 376,  335,-,  107,-,
,ALTO LUCERO, 3 916, 2 754, 1 162,-,  769,  16,
,ALTOTONGA, 6 841, 5 649, 1 192,  17,  969,  22,
,ALVARADO, 1 644, 1 520,  124,  14, 1 407,  18,
,AMATITLAN,  801,  697,  104,*,  206,  6,
,AMATLAN TUXPAN,  787,  624,  163,  48, 1 282,  11,
,AMATLAN DE LOS REYES, 2 465, 2 410,  55,  66, 2 161,  19,
,ANGEL R. CABADA, 2 843, 2 269,  574,  14,  597,  23,
,"ANTIGUA, LA",  814,  753,  61,  23, 2 270,  11,
,APAZAPAN,  890,  829,  61,-,  70,  6,
,AQUILA,  388,  301,  87,*,  52,-,
,ASTACINGA,  801,  738,  63,*,  12,-,
,ATLAHUILCO, 1 440, 1 001,  439,-,  28,*,
,ATOYAC, 2 219, 1 791,  428,  58, 1 257,  15,
,ATZACAN, 2 587, 1 768,  819,  12,  515,  7,
,ATZALAN, 7 295, 5 939, 1 356,  10, 1 073,  36,
,TLALTETELA, 1 458, 1 450,  8,-,  54,  12,
,AYAHUALULCO, 2 687, 2 667,  20,*,  169,-,
,BANDERILLA,  306,  247,  59,  34, 1 708,*,
,BENITO JUAREZ, 2 937, 2 346,  591,  3,  329,  22,
,BOCA DEL RIO,  106,  99,  7,  24, 1 928,  3,
,CALCAHUALCO, 2 164, 1 852,  312,-,  78,  4,
,CAMERINO Z. MENDOZA,  574,  396,  178,  6,  614,-,
,CARRILLO PUERTO, 1 083,  710,  373,  3, 1 010,  4,
,CATEMACO, 3 092, 2 356,  736,  16, 2 449,  29,
,CAZONES DE HERRERA, 2 433, 2 258,  175,  43, 1 160,  23,
,CERRO AZUL,  502,  441,  61,  101, 1 533,  7,
,CITLALTEPETL,  899,  757,  142,  4,  490,*,
,COACOATZINTLA,  489,  349,  140,  11,  295,  3,
,COAHUITLAN,  770,  746,  24,-,  35,  3,
,COATEPEC, 3 898, 2 815, 1 083,  146, 2 337,  15,
,COATZACOALCOS,  556,  519,  37,  61, 4 378,  9,
,COATZINTLA, 1 437, 1 383,  54,  23, 1 932,  16,
,COETZALA,  262,  235,  27,  3,  47,*,
,COLIPA,  775,  556,  219,  9,  265,  3,
,COMAPA, 2 320, 1 861,  459,*,  327,  14,
,CORDOBA, 3 260, 2 534,  726,  189, 4 158,  25,
,COSAMALOAPAN, 4 758, 3 955,  803,  100, 5 956,  40,
,COSAUTLAN DE CARVAJAL, 2 588, 1 899,  689,  31,  308,-,
,COSCOMATEPEC, 3 776, 2 813,  963,  24, 1 241,  4,
,COSOLEACAQUE, 2 229, 2 037,  192,  35, 2 381,  17,
,COTAXTLA, 1 676, 1 434,  242,  7, 1 316,  15,
,COXQUIHUI, 1 533, 1 313,  220,  9,  635,  6,
,COYUTLA, 2 450, 2 089,  361,  18,  748,  8,
,CUICHAPA,  734,  635,  99,  10,  877,  7,
,CUITLAHUAC, 1 134, 1 012,  122,  13, 1 925,  14,
,CHACALTIANGUIS, 1 939, 1 783,  156,  6,  770,  12,
,CHALMA, 1 942, 1 539,  403,  28,  652,  16,
,CHICONAMEL,  832,  713,  119,  13,  319,  10,
,CHICONQUIACO, 1 779, 1 572,  207,*,  240,  9,
,CHICONTEPEC, 9 673, 7 895, 1 778,  6, 1 787,  82,
,CHINAMECA,  729,  646,  83,  29,  390,  10,
,CHINAMPA DE GOROSTIZA,  752,  632,  120,  14, 1 108,  5,
,"CHOAPAS, LAS", 9 084, 7 361, 1 723,  196, 2 730,  130,
,CHOCAMAN, 1 588, 1 229,  359,  8,  258,  3,
,CHONTLA, 2 656, 2 104,  552,  10,  554,  11,
,CHUMATLAN,  451,  384,  67,  17,  143,*,
,EMILIANO ZAPATA, 4 735, 3 565, 1 170,  30, 1 187,  28,
,ESPINAL, 1 737, 1 586,  151,  11, 1 230,  18,
,FILOMENO MATA,  585,  542,  43,  16,  583,-,
,FORTIN, 1 289, 1 206,  83,  92, 1 505,  7,
,GUTIERREZ ZAMORA, 1 169, 1 057,  112,  11,  656,  16,
,HIDALGOTITLAN, 4 576, 4 234,  342,  3,  546,  66,
,HUATUSCO, 3 794, 2 480, 1 314,*, 1 051,  11,
,HUAYACOCOTLA, 2 890, 2 062,  828,  13,  671,  25,
,HUEYAPAN DE OCAMPO, 4 460, 3 975,  485,  17, 1 524,  37,
,HUILOAPAN DE CUAUHTEMOC,  140,  103,  37,  16,  211,*,
,IGNACIO DE LA LLAVE, 2 271, 2 010,  261,  15, 1 734,  30,
,ILAMATLAN, 2 030, 1 998,  32,-,  92,  12,
,ISLA, 3 026, 2 593,  433,  25, 1 785,  43,
,IXCATEPEC, 2 680, 1 442, 1 238,  13,  558,  8,
,IXHUACAN DE LOS REYES, 1 618, 1 333,  285,  5,  275,  6,
,IXHUATLAN DEL CAFE, 3 475, 2 807,  668,*,  219,  12,
,IXHUATLANCILLO, 1 205,  689,  516,  4,  214,*,
,IXHUATLAN DEL SURESTE,  608,  532,  76,  14,  781,  12,
,IXHUATLAN DE MADERO, 8 364, 6 575, 1 789,  15,  950,  56,
,IXMATLAHUACAN,  754,  732,  22,*,  221,  7,
,IXTACZOQUITLAN, 4 180, 3 604,  576,  133, 1 555,  15,
,JALACINGO, 4 916, 3 521, 1 395,  49, 1 137,  15,
,XALAPA, 1 453, 1 200,  253,  67, 5 031,  11,
,JALCOMULCO, 1 008,  847,  161,-,  7,  4,
,JALTIPAN, 1 639, 1 174,  465,  42, 2 257,  16,
,JAMAPA,  815,  796,  19,  5,  753,  12,
,JESUS CARRANZA, 4 709, 3 705, 1 004,  7,  748,  64,
,XICO, 2 538, 1 870,  668,  20, 1 117,  11,
,JILOTEPEC, 1 566, 1 234,  332,  11,  354,  5,
,JUAN RODRIGUEZ CLARA, 3 855, 3 513,  342,  50, 2 271,  43,
,JUCHIQUE DE FERRER, 2 349, 1 733,  616,*,  279,  11,
,LANDERO Y COSS,  426,  344,  82,*,  21,-,
,LERDO DE TEJADA,  578,  478,  100,  11,  186,  3,
,MAGDALENA,  405,  364,  41,  5,  72,-,
,MALTRATA, 1 542, 1 044,  498,  9,  386,  3,
,MANLIO FABIO ALTAMIRANO, 2 045, 1 965,  80,  17, 1 829,  29,
,MARIANO ESCOBEDO, 2 156, 1 608,  548,*,  315,  3,
,MARTINEZ DE LA TORRE, 4 087, 3 587,  500,  87, 3 649,  42,
,MECATLAN,  962,  778,  184,-,  360,-,
,MECAYAPAN, 1 972, 1 917,  55,*,  457,  24,
,MEDELLIN, 2 180, 2 109,  71,  34, 1 402,  33,
,MIAHUATLAN,  786,  580,  206,*,  70,*,
,"MINAS, LAS",  448,  352,  96,  3,  66,-,
,MINATITLAN, 9 256, 8 739,  517,  15, 2 444,  162,
,MISANTLA, 5 783, 4 829,  954,  99, 2 284,  38,
,MIXTLA DE ALTAMIRANO, 1 608, 1 165,  443,-,  129,-,
,MOLOACAN,  961,  838,  123,  68, 1 230,  13,
,NAOLINCO, 2 218, 1 543,  675,  6,  542,  4,
,NARANJAL,  466,  438,  28,*,  144,-,
,NAUTLA, 1 012,  954,  58,  18,  733,  12,
,NOGALES, 1 023,  831,  192,  39,  731,  7,
,OLUTA,  333,  314,  19,  37,  929,  3,
,OMEALCA, 2 288, 2 005,  283,  4, 1 054,  33,
,ORIZABA,  49,  43,  6,  58,  956,-,
,OTATITLAN,  601,  487,  114,  36,  511,  4,
,OTEAPAN,  348,  338,  10,  26,  241,*,
,OZULUAMA, 4 087, 3 182,  905,  10, 1 108,  36,
,PAJAPAN, 1 374, 1 299,  75,  15,  633,  11,
,PANUCO, 8 714, 7 236, 1 478,  89, 5 679,  144,
,PAPANTLA, 10 439, 8 630, 1 809,  138, 8 350,  69,
,PASO DEL MACHO, 1 919, 1 891,  28,  22, 1 257,  28,
,PASO DE OVEJAS, 2 755, 2 389,  366,  25, 1 860,  26,
,"PERLA, LA", 3 051, 2 320,  731,  8,  259,*,
,PEROTE, 3 341, 3 108,  233,  29, 1 100,  18,
,PLATON SANCHEZ, 1 810, 1 311,  499,  40, 1 495,  10,
,PLAYA VICENTE, 5 536, 5 143,  393,  126, 3 639,  65,
,POZA RICA DE HIDALGO,  76,  71,  5,  51, 1 196,*,
,"VIGAS DE RAMIREZ, LAS", 1 266, 1 073,  193,  10,  421,  4,
,PUEBLO VIEJO,  846,  753,  93,  64, 3 935,  19,
,PUENTE NACIONAL, 1 987, 1 667,  320,  6, 1 195,  25,
,RAFAEL DELGADO,  822,  725,  97,  44,  270,*,
,RAFAEL LUCIO,  450,  360,  90,  7,  343,*,
,"REYES, LOS",  890,  843,  47,-,  59,*,
,RIO BLANCO,  169,  140,  29,  19,  416,*,
,SALTABARRANCA,  556,  451,  105,  6,  63,  4,
,SAN ANDRES TENEJAPAN,  385,  258,  127,  3,  26,-,
,SAN ANDRES TUXTLA, 9 920, 8 334, 1 586,  35, 3 178,  77,
,SAN JUAN EVANGELISTA, 3 290, 3 243,  47,  11, 1 725,  46,
,SANTIAGO TUXTLA, 4 499, 4 097,  402,  27, 2 768,  43,
,SAYULA DE ALEMAN, 2 651, 2 547,  104,  10, 1 064,  31,
,SOCONUSCO,  505,  490,  15,  32,  546,  7,
,SOCHIAPA,  306,  306,-,  24,  31,-,
,SOLEDAD ATZOMPA, 2 296, 2 235,  61,-,  9,*,
,SOLEDAD DE DOBLADO, 2 300, 2 170,  130,  23, 1 875,  27,
,SOTEAPAN, 2 516, 2 500,  16,  13,  923,  40,
,TAMALIN,  652,  586,  66,  9,  802,  7,
,TAMIAHUA, 3 266, 2 839,  427,  6, 2 097,  49,
,TAMPICO ALTO, 2 123, 1 414,  709,  8,  924,  22,
,TANCOCO,  999,  639,  360,*,  590,  11,
,TANTIMA, 1 848, 1 655,  193,  8,  874,  19,
,TANTOYUCA, 11 766, 10 682, 1 084,  80, 2 856,  39,
,TATATILA,  894,  750,  144,*,  79,-,
,CASTILLO DE TEAYO, 2 094, 1 936,  158,  35, 1 287,  27,
,TECOLUTLA, 1 829, 1 774,  55,  35, 1 070,  25,
,TEHUIPANGO, 2 283, 2 048,  235,-,  42,-,
,TEMAPACHE, 9 962, 8 682, 1 280,  112, 4 262,  102,
,TEMPOAL, 3 536, 2 640,  896,  56, 2 296,  31,
,TENAMPA,  820,  735,  85,  9,  34,  5,
,TENOCHTITLAN,  853,  786,  67,-,  83,-,
,TEOCELO, 1 703, 1 439,  264,  46,  612,*,
,TEPATLAXCO,  972,  890,  82,  5,  250,  6,
,TEPETLAN, 1 226, 1 056,  170,  9,  218,  6,
,TEPETZINTLA, 1 415, 1 243,  172,  10,  590,  12,
,TEQUILA, 2 448, 1 968,  480,*,  169,  3,
,JOSE AZUETA, 2 608, 2 450,  158,  11, 1 116,  27,
,TEXCATEPEC, 1 380, 1 380,-,-,-,  5,
,TEXHUACAN,  306,  284,  22,-,  24,-,
,TEXISTEPEC, 1 451, 1 402,  49,  20,  548,  21,
,TEZONAPA, 4 931, 4 778,  153,  15, 2 197,  44,
,TIERRA BLANCA, 6 185, 5 439,  746,  43, 3 061,  80,
,TIHUATLAN, 4 801, 4 219,  582,  31, 3 569,  72,
,TLACOJALPAN,  760,  507,  253,  12,  217,  3,
,TLACOLULAN, 1 287, 1 236,  51,-,  246,*,
,TLACOTALPAN, 1 484, 1 248,  236,  22, 1 174,  17,
,TLACOTEPEC DE MEJIA,  705,  625,  80,  31,  26,*,
,TLACHICHILCO, 1 825, 1 612,  213,  6,  259,  8,
,TLALIXCOYAN, 4 253, 3 800,  453,  20, 2 282,  50,
,TLALNELHUAYOCAN,  683,  588,  95,  5,  350,*,
,TLAPACOYAN, 2 266, 2 143,  123,  51, 2 394,  17,
,TLAQUILPAN,  775,  768,  7,  5,  107,-,
,TLILAPAN,  394,  315,  79,  20,  35,*,
,TOMATLAN,  674,  671,  3,  13,  201,*,
,TONAYAN,  774,  681,  93,*,  61,  3,
,TOTUTLA, 1 595, 1 582,  13,-,  493,  8,
,TUXPAM, 4 468, 4 136,  332,  87, 3 481,  75,
,TUXTILLA,  532,  472,  60,  3,  124,*,
,URSULO GALVAN, 2 285, 2 053,  232,  27, 1 237,  21,
,VEGA DE ALATORRE,  980,  822,  158,  43, 1 736,  14,
,VERACRUZ, 1 189, 1 049,  140,  52, 2 660,  18,
,VILLA ALDAMA,  662,  595,  67,-,  209,  4,
,XOXOCOTLA,  587,  561,  26,-,  23,*,
,YANGA, 1 322, 1 240,  82,  10, 1 024,  10,
,YECUATLAN, 1 634, 1 520,  114,*,  394,*,
,ZACUALPAN, 1 064,  941,  123,-,  294,  4,
,ZARAGOZA,  206,  206,-,*,  155,-,
,ZENTLA, 1 155, 1 154,*,  27,  187,  3,
,ZONGOLICA, 4 384, 4 093,  291,  3,  513,  16,
,ZONTECOMATLAN, 2 174, 2 092,  82,*,  115,  15,
,ZOZOCOLCO DE HIDALGO, 1 005,  975,  30,  18,  698,*,
,AGUA DULCE, 1 073,  894,  179,  165, 1 811,  13,
,"HIGO, EL", 1 698, 1 368,  330,  26, 1 723,  16,
,NANCHITAL DE LAZARO CARDENAS DEL R.,  55,  53,*,  5,  857,*,
,TRES VALLES, 2 931, 2 621,  310,  76, 3 352,  39,
YUCATAN,, 105 848, 84 702, 21 146, 3 274, 49 090,  727,
,ABALA,  994,  971,  23,  11,  156,  7,
,ACANCEH, 1 363,  835,  528,  43,  757,  7,
,AKIL, 1 249,  691,  558,  249,  319,*,
,BACA,  977,  683,  294,  10,  283,  3,
,BOKOBA,  337,  323,  14,  6,  92,*,
,BUCTZOTZ,  729,  565,  164,  29,  561,  9,
,CACALCHEN,  793,  766,  27,  21,  315,*,
,CALOTMUL,  917,  853,  64,-,  94,  4,
,CANSAHCAB,  911,  668,  243,  14,  287,  4,
,CANTAMAYEC,  385,  340,  45,*,  17,  3,
,CELESTUN,  42,  26,  16,  3,  327,*,
,CENOTILLO,  659,  539,  120,  10,  285,  4,
,CONKAL,  460,  392,  68,  68,  746,  3,
,CUNCUNUL,  294,  216,  78,*,  40,  4,
,CUZAMA,  477,  466,  11,  15,  166,  4,
,CHACSINKIN,  391,  346,  45,*,  15,*,
,CHANKOM,  723,  679,  44,-,  14,  14,
,CHAPAB,  508,  467,  41,  7,  90,*,
,CHEMAX, 4 031, 2 905, 1 126,  26,  519,  19,
,CHICXULUB PUEBLO,  227,  205,  22,  37,  321,  3,
,CHICHIMILA,  685,  538,  147,  4,  247,  7,
,CHIKINDZONOT,  901,  872,  29,-,  6,  8,
,CHOCHOLA,  499,  399,  100,  39,  277,  3,
,CHUMAYEL,  402,  375,  27,  13,  107,*,
,DZAN,  951,  830,  121,  5,  52,*,
,DZEMUL,  824,  714,  110,  16,  175,*,
,DZIDZANTUN,  632,  520,  112,  31,  323,*,
,DZILAM DE BRAVO,  113,  90,  23,  3,  54,*,
,DZILAM GONZALEZ, 1 086,  786,  300,  18,  274,  6,
,DZITAS,  632,  509,  123,  4,  181,*,
,DZONCAUICH,  631,  592,  39,  4,  86,*,
,ESPITA, 2 043, 1 694,  349,  17,  581,  9,
,HALACHO, 3 794, 2 442, 1 352,  76, 1 656,  8,
,HOCABA,  953,  840,  113,  11,  159,*,
,HOCTUN,  739,  655,  84,  31,  412,  3,
,HOMUN,  908,  849,  59,  30,  264,  4,
,HUHI,  882,  609,  273,  7,  164,  3,
,HUNUCMA, 1 022,  848,  174,  54,  528,  7,
,IXIL,  282,  190,  92,  14,  282,*,
,IZAMAL, 3 126, 1 519, 1 607,  128, 2 441,  9,
,KANASIN, 1 791, 1 261,  530,  106, 2 252,  7,
,KANTUNIL,  666,  530,  136,  37,  269,*,
,KAUA,  352,  296,  56,-,  25,  3,
,KINCHIL,  891,  647,  244,  13,  168,*,
,KOPOMA,  674,  556,  118,*,  27,  3,
,MAMA,  506,  425,  81,  5,  46,*,
,MANI,  640,  562,  78,  46,  192,*,
,MAXCANU, 3 247, 2 418,  829,  43,  763,  13,
,MAYAPAN,  319,  299,  20,-,  18,*,
,MERIDA, 2 863, 2 185,  678,  320, 5 928,  49,
,MOCOCHA,  383,  332,  51,  13,  181,  4,
,MOTUL, 3 203, 2 262,  941,  43, 1 491,  22,
,MUNA, 1 222, 1 025,  197,  23,  608,  3,
,MUXUPIP,  535,  517,  18,  3,  81,  3,
,OPICHEN,  879,  802,  77,  10,  87,*,
,OXKUTZCAB, 1 180,  923,  257,  303,  730,  4,
,PANABA,  684,  585,  99,-,  475,  5,
,PETO, 2 055, 1 887,  168,  51,  648,  29,
,PROGRESO,  314,  255,  59,  39, 1 373,  5,
,QUINTANA ROO,  333,  222,  111,  5,  58,*,
,RIO LAGARTOS,  104,  82,  22,  3,  86,*,
,SACALUM,  610,  566,  44,  14,  187,  5,
,SAMAHIL,  548,  467,  81,  22,  202,  5,
,SANAHCAT,  281,  267,  14,  9,  66,*,
,SAN FELIPE,  190,  164,  26,*,  85,*,
,SANTA ELENA,  551,  480,  71,  7,  105,*,
,SEYE,  680,  630,  50,  42,  504,  3,
,SINANCHE,  686,  474,  212,  15,  210,  4,
,SOTUTA,  834,  761,  73,  17,  383,  4,
,SUCILA,  350,  304,  46,  15,  310,*,
,SUDZAL,  495,  411,  84,  3,  29,  5,
,SUMA,  365,  361,  4,  7,  140,  4,
,TAHDZIU,  433,  425,  8,*,  18,*,
,TAHMEK,  455,  397,  58,  11,  271,  3,
,TEABO,  613,  517,  96,  16,  273,*,
,TECOH, 1 710, 1 413,  297,  23,  556,  8,
,TEKAL DE VENEGAS,  463,  441,  22,  28,  133,  3,
,TEKANTO,  749,  669,  80,  27,  250,  6,
,TEKAX, 3 992, 3 089,  903,  80, 1 517,  59,
,TEKIT,  800,  787,  13,  27,  392,*,
,TEKOM,  456,  375,  81,-,  152,  6,
,TELCHAC PUEBLO,  597,  515,  82,  24,  385,*,
,TELCHAC PUERTO,  101,  47,  54,-,  28,*,
,TEMAX, 1 256, 1 133,  123,  28,  275,  5,
,TEMOZON, 1 881, 1 725,  156,  5,  276,  12,
,TEPAKAN,  582,  491,  91,  19,  116,  3,
,TETIZ,  498,  378,  120,  27,  275,  6,
,TEYA,  381,  374,  7,  6,  132,*,
,TICUL, 1 390, 1 234,  156,  47, 1 076,  3,
,TIMUCUY,  599,  539,  60,  22,  218,  4,
,TINUM, 1 106,  979,  127,  18,  305,  8,
,TIXCACALCUPUL,  808,  653,  155,-,  81,  5,
,TIXKOKOB, 1 375, 1 207,  168,  107, 1 196,  14,
,TIXMEHUAC,  656,  578,  78,  3,  31,  6,
,TIXPEHUAL,  424,  374,  50,  15,  436,  5,
,TIZIMIN, 5 934, 4 204, 1 730,  161, 3 163,  66,
,TUNKAS,  671,  546,  125,  16,  148,  7,
,TZUCACAB, 1 441, 1 322,  119,  65,  540,  22,
,UAYMA,  571,  493,  78,*,  44,  3,
,UCU,  260,  209,  51,  33,  197,  3,
,UMAN, 1 531, 1 343,  188,  91, 2 540,  15,
,VALLADOLID, 4 108, 3 133,  975,  69, 1 999,  19,
,XOCCHEL,  331,  301,  30,  5,  193,*,
,YAXCABA, 2 943, 2 477,  466,  7,  195,  41,
,YAXKUKUL,  299,  237,  62,  8,  156,*,
,YOBAIN,  431,  334,  97,  8,  123,*,
ZACATECAS,, 130 566, 118 917, 11 649,  771, 30 594,  775,
,APOZOL,  921,  825,  96,  4,  149,  5,
,APULCO,  884,  769,  115,*,  233,*,
,ATOLINGA,  696,  611,  85,  5,  136,-,
,BENITO JUAREZ,  849,  674,  175,  3,  61,  4,
,CALERA, 1 743, 1 626,  117,  37,  295,  3,
,CAÑITAS DE FELIPE PESCADOR, 1 854, 1 656,  198,  3,  98,  5,
,CONCEPCION DEL ORO, 1 284, 1 209,  75,  11,  409,  17,
,CUAUHTEMOC, 1 096, 1 001,  95,  7,  463,  9,
,CHALCHIHUITES, 1 523, 1 293,  230,  19,  482,  5,
,FRESNILLO, 12 315, 11 459,  856,  69, 2 759,  75,
,TRINIDAD GARCIA DE LA CADENA,  590,  487,  103,  17,  189,-,
,GENARO CODINA,  874,  836,  38,-,  353,  8,
,GENERAL ENRIQUE ESTRADA,  931,  860,  71,  4,  120,*,
,FRANCISCO R. MURGUIA, 4 758, 4 319,  439,  8,  411,  45,
,GENERAL JOAQUIN AMARO,  701,  629,  72,  4,  135,  4,
,GENERAL PANFILO NATERA, 2 683, 2 543,  140,  5,  460,  12,
,GUADALUPE, 4 427, 4 270,  157,  45, 1 793,  16,
,HUANUSCO,  954,  807,  147,*,  218,  6,
,JALPA, 1 901, 1 486,  415,  10,  779,  6,
,JEREZ, 5 500, 4 613,  887,  53, 1 609,  42,
,JIMENEZ DEL TEUL,  650,  559,  91,  6,  212,  4,
,JUAN ALDAMA, 2 586, 2 429,  157,  8,  346,  6,
,JUCHIPILA, 1 142,  999,  143,  13,  820,  4,
,LORETO, 1 917, 1 846,  71,  5,  671,  11,
,LUIS MOYA,  881,  781,  100,  6,  222,  6,
,MAZAPIL, 4 042, 3 816,  226,-,  185,  69,
,MELCHOR OCAMPO,  458,  425,  33,*,  41,  6,
,MEZQUITAL DEL ORO,  649,  491,  158,*,  124,*,
,MIGUEL AUZA, 2 995, 2 508,  487,  33,  385,  4,
,MOMAX,  480,  417,  63,  8,  137,-,
,MONTE ESCOBEDO, 1 538, 1 295,  243,  7,  415,  7,
,MORELOS,  910,  758,  152,  13,  333,  3,
,MOYAHUA DE ESTRADA,  716,  657,  59,  6,  370,*,
