"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,GOMEZ FARIAS,,,  734, 19 028,  423, 2 854,  444, 4 151,,
,GRAN MORELOS,,,  701, 12 920,  518, 3 435,  488, 2 581,,
,GUACHOCHI,,, 2 371, 23 698, 1 205, 3 447, 1 128, 3 679,,
,GUADALUPE,,,  360, 27 210,  237, 4 532,  245, 4 757,,
,GUADALUPE Y CALVO,,, 2 267, 36 571, 1 375, 6 145, 1 236, 6 818,,
,GUAZAPARES,,, 1 199, 17 287,  847, 3 420,  743, 3 237,,
,GUERRERO,,, 2 453, 51 358, 1 481, 10 594, 1 402, 10 712,,
,HIDALGO DEL PARRAL,,,  524, 27 882,  418, 7 944,  359, 5 423,,
,HUEJOTITAN,,,  308, 9 763,  257, 1 868,  252, 2 222,,
,IGNACIO ZARAGOZA,,, 1 055, 24 395,  733, 4 639,  736, 5 303,,
,JANOS,,, 1 749, 74 407, 1 282, 16 029, 1 160, 13 639,,
,JIMENEZ,,,  832, 57 169,  529, 13 796,  458, 13 275,,
,JUAREZ,,,  228, 15 662,  122, 2 707,  110, 3 606,,
,JULIMES,,,  472, 41 858,  283, 9 215,  268, 8 661,,
,LOPEZ,,,  446, 9 490,  270, 2 003,  249, 1 813,,
,MADERA,,, 2 263, 70 976, 1 585, 14 081, 1 530, 14 573,,
,MAGUARICHI,,,  108, 2 202,  71,  442,  66,  431,,
,MANUEL BENAVIDES,,,  452, 28 792,  405, 7 477,  365, 5 119,,
,MATACHI,,,  297, 7 613,  190, 1 871,  188, 1 584,,
,MATAMOROS,,,  511, 22 435,  378, 6 309,  344, 5 297,,
,MEOQUI,,,  676, 9 955,  290, 2 341,  321, 2 346,,
,MORELOS,,,  633, 10 119,  300, 1 512,  271, 1 605,,
,MORIS,,,  612, 19 147,  469, 4 206,  447, 4 476,,
,NAMIQUIPA,,, 3 245, 76 453, 1 943, 15 258, 1 919, 16 609,,
,NONOAVA,,,  435, 17 627,  316, 3 991,  310, 3 431,,
,NUEVO CASAS GRANDES,,,  436, 18 499,  291, 6 182,  269, 2 848,,
,OCAMPO,,,  600, 7 622,  314, 1 277,  286, 1 262,,
,OJINAGA,,,  810, 36 957,  537, 8 270,  464, 6 338,,
,PRAXEDIS G. GUERRERO,,,  101, 3 244,  66,  882,  55,  617,,
,RIVA PALACIO,,, 1 791, 43 192, 1 314, 9 981, 1 295, 9 605,,
,ROSALES,,,  645, 16 919,  328, 3 257,  342, 3 349,,
,ROSARIO,,,  503, 16 212,  428, 3 608,  419, 3 508,,
,SAN FRANCISCO DE BORJA,,,  625, 21 484,  514, 4 956,  481, 4 735,,
,SAN FRANCISCO DE CONCHOS,,,  235, 5 879,  155, 1 206,  122,  941,,
,SAN FRANCISCO DEL ORO,,,  214, 4 972,  183, 1 147,  155, 1 215,,
,SANTA BARBARA,,,  268, 7 312,  198, 2 066,  198, 1 602,,
,SATEVO,,, 1 118, 41 085,  872, 9 369,  849, 7 394,,
,SAUCILLO,,,  724, 19 472,  331, 5 006,  315, 3 505,,
,TEMOSACHI,,,  990, 31 141,  689, 6 711,  606, 7 719,,
,"TULE, EL",,,  371, 8 972,  259, 1 696,  271, 2 119,,
,URIQUE,,, 1 141, 13 916,  657, 2 557,  644, 2 500,,
,URUACHI,,,  706, 12 997,  488, 2 471,  443, 2 483,,
,VALLE DE ZARAGOZA,,,  824, 26 210,  599, 7 500,  532, 4 418,,
DISTRITO FEDERAL,,,, 3 281, 18 628, 1 305, 3 296, 1 046, 3 420,,
,AZCAPOTZALCO,,,  13,  420,  8,  34,  4,  21,,
,COYOACAN,,,  16,  459,  10,  40,  11,  117,,
,CUAJIMALPA DE MORELOS,,,  86,  367,  33,  155,  20,  44,,
,GUSTAVO A. MADERO,,,  14,  516,  8,  44,  3,  19,,
,IZTACALCO,,,*,  30,*,-,*,  5,,
,IZTAPALAPA,,,  82, 1 478,  23,  104,  27,  261,,
,"MAGDALENA CONTRERAS, LA",,,  87,  531,  26,  80,  24,  67,,
,MILPA ALTA,,,  857, 4 018,  410,  851,  316,  873,,
,ALVARO OBREGON,,,  86,  392,  34,  80,  32,  88,,
,TLAHUAC,,,  964, 3 792,  332,  734,  233,  637,,
