"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,CHICOMUSELO,,  7,  1.75,  0.25,  1.50,  8.84,,,,,,
,CHILON,,  66,  49.36,  20.57,  28.79,  74.61,,,,,,
,ESCUINTLA,,*,  0.25,  0.00,  0.25,  0.25,,,,,,
,FRANCISCO LEON,,  6,  4.75,  4.25,  0.50,  0.10,,,,,,
,FRONTERA COMALAPA,,  17,  7.50,  1.44,  6.06,  28.27,,,,,,
,HUEHUETAN,,  48,  592.49,  32.88,  559.62, 15 301.96,,,,,,
,HUIXTAN,,*,  0.00,  0.00,  0.00,  0.11,,,,,,
,HUITIUPAN,,  17,  8.50,  1.25,  7.25,  6.95,,,,,,
,HUIXTLA,,  715, 4 581.15,  336.14, 4 245.01, 311 256.34,,,,,,
,"INDEPENDENCIA, LA",,  8,  8.17,  1.00,  7.17,  4.50,,,,,,
,IXHUATAN,,  7,  4.01,  0.71,  3.30,  15.35,,,,,,
,IXTACOMITAN,,*,  1.72,  0.22,  1.50,  0.00,,,,,,
,IXTAPA,,  21,  10.84,  1.00,  9.84,  9.49,,,,,,
,JIQUIPILAS,,  51,  20.30,  17.76,  2.54,  60.07,,,,,,
,LARRAINZAR,,*,  2.00,  1.75,  0.25,  0.25,,,,,,
,MAPASTEPEC,,  11,  9.97,  3.80,  6.17,  26.29,,,,,,
,"MARGARITAS, LAS",,  334,  602.95,  132.51,  470.45,  626.48,,,,,,
,MAZAPA DE MADERO,,  8,  2.63,  1.13,  1.50,  3.38,,,,,,
,MAZATAN,,  135,  528.95,  120.00,  408.95, 27 581.31,,,,,,
,METAPA,,*,  7.50,  5.50,  2.00,  225.69,,,,,,
,MITONTIC,,*,  0.25,  0.00,  0.25,  0.06,,,,,,
,MOTOZINTLA,,*,  0.00,  0.00,  0.00,  0.11,,,,,,
,NICOLAS RUIZ,,*,  1.00,  0.00,  1.00,  0.25,,,,,,
,OCOSINGO,,  578,  316.32,  62.15,  254.17, 5 009.03,,,,,,
,OCOTEPEC,,  6,  4.55,  0.25,  4.30,  10.59,,,,,,
,OCOZOCOAUTLA DE ESPINOSA,,  33,  21.40,  10.96,  10.44,  65.70,,,,,,
,OSTUACAN,,*,  2.00,  0.00,  2.00,  2.50,,,,,,
,OSUMACINTA,,  13,  8.10,  0.50,  7.60,  2.97,,,,,,
,OXCHUC,,  14,  7.63,  1.75,  5.88,  0.00,,,,,,
,PALENQUE,,  46,  24.57,  12.39,  12.19,  23.29,,,,,,
,PANTEPEC,,  6,  3.00,  1.00,  2.00,  4.50,,,,,,
,PICHUCALCO,,*,  0.25,  0.00,  0.25,  28.21,,,,,,
,PIJIJIAPAN,,  4,  3.97,  0.00,  3.97,  53.50,,,,,,
,VILLA COMALTITLAN,,  168, 1 277.03,  57.00, 1 220.03, 70 392.94,,,,,,
,PUEBLO NUEVO SOLISTAHUACAN,,  6,  3.25,  0.00,  3.25,  1.85,,,,,,
,"ROSAS, LAS",,  581, 1 167.08,  15.75, 1 151.33, 94 367.32,,,,,,
,SABANILLA,,  25,  11.26,  4.00,  7.26,  4.89,,,,,,
,SALTO DE AGUA,,  10,  3.75,  0.50,  3.25,  6.25,,,,,,
,SAN FERNANDO,,  19,  14.03,  4.44,  9.60,  18.98,,,,,,
,SILTEPEC,,*,  0.13,  0.00,  0.13,  0.61,,,,,,
,SIMOJOVEL,,  8,  5.50,  0.50,  5.00,  7.50,,,,,,
,SITALA,,  3,  2.37,  0.00,  2.37,  4.00,,,,,,
,SOCOLTENANGO,, 1 133, 4 153.87,  8.50, 4 145.37, 345 095.26,,,,,,
,SUCHIAPA,,  4,  0.57,  0.50,  0.07,  0.36,,,,,,
,TAPILULA,,  3,  1.50,  0.50,  1.00,  0.50,,,,,,
,TECPATAN,,  15,  12.23,  2.00,  10.23,  8.43,,,,,,
,TEOPISCA,,  32,  3.23,  0.59,  2.65,  5.31,,,,,,
,TILA,,  24,  25.18,  5.50,  19.68,  10.52,,,,,,
,TONALA,,  33,  36.71,  6.81,  29.90,  89.50,,,,,,
,"TRINITARIA, LA",,  12,  12.77,  6.06,  6.71,  95.00,,,,,,
,TUMBALA,,*,  0.89,  0.00,  0.89,  1.45,,,,,,
,TUXTLA GUTIERREZ,,  18,  0.53,  0.25,  0.28,  1.70,,,,,,
,TUXTLA CHICO,,*,  6.00,  0.00,  6.00,  300.00,,,,,,
,TUZANTAN,,  44,  233.37,  9.50,  223.87, 11 361.46,,,,,,
,TZIMOL,,  315, 1 566.14,  6.50, 1 559.64, 111 082.37,,,,,,
,VENUSTIANO CARRANZA,,  562, 3 439.38,  14.00, 3 425.38, 249 886.53,,,,,,
,VILLA CORZO,,  9,  2.57,  0.00,  2.57,  153.38,,,,,,
,VILLAFLORES,,  32,  13.15,  8.50,  4.65,  25.75,,,,,,
,YAJALON,,*,  1.04,  0.79,  0.25,  0.50,,,,,,
,SAN LUCAS,,*,  2.00,  0.00,  2.00,  1.00,,,,,,
,ZINACANTAN,,*,  0.75,  0.00,  0.75,  1.00,,,,,,
,SAN JUAN CANCUC,,  5,  2.00,  0.00,  2.00,  3.25,,,,,,
CHIHUAHUA,,,  54,  146.98,  2.50,  144.48,  476.57,,,,,,
,ALDAMA,,*,  9.50,  0.00,  9.50,  7.00,,,,,,
,CAMARGO,,*,  3.00,  0.00,  3.00,  0.00,,,,,,
,CASAS GRANDES,,  7,  8.12,  0.00,  8.12,  3.79,,,,,,
,"CRUZ, LA",,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,CHINIPAS,,*,  1.50,  0.25,  1.25,  1.00,,,,,,
,GUADALUPE,,  10,  20.50,  0.00,  20.50,  13.50,,,,,,
,GUADALUPE Y CALVO,,  6,  3.50,  0.00,  3.50,  22.50,,,,,,
,GUAZAPARES,,  8,  5.50,  1.25,  4.25,  20.89,,,,,,
,JIMENEZ,,*,  80.00,  0.00,  80.00,  0.00,,,,,,
,JUAREZ,,*,  0.50,  0.00,  0.50,  1.00,,,,,,
,MADERA,,*,  0.33,  0.00,  0.33,  21.83,,,,,,
,MANUEL BENAVIDES,,*,  0.00,  0.00,  0.00,  0.14,,,,,,
,MEOQUI,,*,  2.00,  0.00,  2.00,  363.91,,,,,,
,MORELOS,,*,  1.50,  0.00,  1.50,  0.58,,,,,,
,MORIS,,*,  2.00,  0.00,  2.00,  0.00,,,,,,
,NONOAVA,,*,  0.33,  0.00,  0.33,  3.00,,,,,,
,NUEVO CASAS GRANDES,,*,  2.40,  0.00,  2.40,  9.50,,,,,,
,OCAMPO,,  3,  5.00,  0.00,  5.00,  4.60,,,,,,
,PRAXEDIS G. GUERRERO,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,TEMOSACHI,,*,  0.25,  0.00,  0.25,  0.00,,,,,,
,URUACHI,,*,  0.05,  0.00,  0.05,  3.34,,,,,,
DISTRITO FEDERAL,,,*,  0.07,  0.00,  0.07,  0.99,,,,,,
,CUAJIMALPA DE MORELOS,,*,  0.07,  0.00,  0.07,  0.99,,,,,,
DURANGO,,,  118,  63.23,  4.65,  58.58,  317.73,,,,,,
,CANELAS,,  4,  1.14,  0.10,  1.04,  1.25,,,,,,
,CONETO DE COMONFORT,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,DURANGO,,*,  0.50,  0.00,  0.50,  32.40,,,,,,
,GOMEZ PALACIO,,*,  1.00,  0.00,  1.00,  5.01,,,,,,
,GUADALUPE VICTORIA,,*,  0.25,  0.00,  0.25,  0.50,,,,,,
,MAPIMI,,*,  3.00,  0.20,  2.80,  9.00,,,,,,
,MEZQUITAL,,  22,  13.82,  0.00,  13.82,  57.05,,,,,,
,NAZAS,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,OTAEZ,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,PUEBLO NUEVO,,  30,  19.19,  2.85,  16.34,  99.33,,,,,,
,SAN DIMAS,,  14,  9.46,  0.00,  9.46,  62.85,,,,,,
,SANTIAGO PAPASQUIARO,,*,  0.25,  0.00,  0.25,  0.00,,,,,,
,TAMAZULA,,  15,  8.37,  0.00,  8.37,  26.78,,,,,,
,TEPEHUANES,,*,  0.75,  0.00,  0.75,  6.50,,,,,,
,TOPIA,,  20,  4.01,  0.00,  4.01,  17.06,,,,,,
GUANAJUATO,,,  30,  19.87,  3.75,  16.12,  142.14,,,,,,
,ABASOLO,,*,  0.50,  0.00,  0.50,  42.25,,,,,,
,ACAMBARO,,*,  0.03,  0.00,  0.03,  2.00,,,,,,
,CELAYA,,*,  3.75,  0.00,  3.75,  45.00,,,,,,
,CORTAZAR,,*,  0.25,  0.00,  0.25,  0.50,,,,,,
,GUANAJUATO,,*,  1.17,  0.00,  1.17,  7.00,,,,,,
,JARAL DEL PROGRESO,,  3,  2.00,  0.00,  2.00,  17.80,,,,,,
,PURISIMA DEL RINCON,,*,  0.50,  0.50,  0.00,  0.08,,,,,,
,SALAMANCA,,*,  1.00,  0.00,  1.00,  2.00,,,,,,
,SALVATIERRA,,*,  3.00,  0.00,  3.00,  22.50,,,,,,
,SAN LUIS DE LA PAZ,,*,  1.00,  0.00,  1.00,  0.87,,,,,,
,VICTORIA,,*,  0.25,  0.00,  0.25,  0.04,,,,,,
,XICHU,,  14,  6.43,  3.25,  3.17,  2.10,,,,,,
GUERRERO,,, 1 077,  972.93,  147.08,  825.84, 8 608.92,,,,,,
,ACAPULCO DE JUAREZ,,  17,  15.72,  5.25,  10.47,  30.46,,,,,,
,AJUCHITLAN DEL PROGRESO,,*,  1.00,  0.00,  1.00,  0.50,,,,,,
,ALPOYECA,,*,  2.00,  2.00,  0.00,  0.00,,,,,,
,APAXTLA,,*,  1.00,  0.00,  1.00,  1.00,,,,,,
,ARCELIA,,*,  1.00,  0.75,  0.25,  0.12,,,,,,
,ATLAMAJALCINGO DEL MONTE,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,ATLIXTAC,,  15,  6.66,  0.25,  6.41,  159.66,,,,,,
,ATOYAC DE ALVAREZ,,  5,  11.75,  0.25,  11.50,  10.76,,,,,,
,AYUTLA DE LOS LIBRES,,  297,  263.60,  2.75,  260.85,  468.15,,,,,,
,AZOYU,,*,  0.63,  0.25,  0.38,  0.50,,,,,,
,BENITO JUAREZ,,*,  5.81,  0.00,  5.81,  0.50,,,,,,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA,,  19,  77.90,  10.65,  67.25,  153.50,,,,,,
,COCULA,,  3,  3.08,  0.00,  3.08,  50.01,,,,,,
,COPALA,,*,  1.00,  0.00,  1.00,  1.00,,,,,,
,COPANATOYAC,,  8,  3.25,  0.00,  3.25,  2.75,,,,,,
,COYUCA DE BENITEZ,,  3,  1.58,  1.00,  0.58,  0.83,,,,,,
,COYUCA DE CATALAN,,*,  2.00,  2.00,  0.00,  0.00,,,,,,
,CUAJINICUILAPA,,  12,  12.13,  11.88,  0.25,  0.79,,,,,,
,CUETZALA DEL PROGRESO,,*,  0.32,  0.00,  0.32,  2.00,,,,,,
,CHILAPA DE ALVAREZ,,  134,  75.84,  0.02,  75.82,  53.73,,,,,,
,CHILPANCINGO DE LOS BRAVO,,*,  0.00,  0.00,  0.00,  0.24,,,,,,
,GENERAL HELIODORO CASTILLO,,  7,  2.42,  1.35,  1.07,  7.50,,,,,,
,IGUALA DE LA INDEPENDENCIA,,  6,  13.10,  0.00,  13.10,  54.41,,,,,,
,IGUALAPA,,  3,  0.61,  0.00,  0.61,  2.69,,,,,,
,JOSE AZUETA,,  17,  29.85,  12.75,  17.11,  230.63,,,,,,
,JUAN R. ESCUDERO,,*,  0.75,  0.00,  0.75,  0.98,,,,,,
,LEONARDO BRAVO,,  5,  1.26,  0.25,  1.01,  0.34,,,,,,
,MALINALTEPEC,,  26,  62.07,  28.17,  33.90,  140.19,,,,,,
,MOCHITLAN,,*,  0.50,  0.00,  0.50,  0.33,,,,,,
,OMETEPEC,,  15,  42.23,  26.00,  16.23,  213.65,,,,,,
,PETATLAN,,  7,  5.73,  0.50,  5.23,  6.10,,,,,,
,PILCAYA,,*,  2.00,  0.00,  2.00,  80.00,,,,,,
,QUECHULTENANGO,,*,  0.01,  0.00,  0.00,  0.29,,,,,,
,SAN LUIS ACATLAN,,  189,  152.84,  12.53,  140.31, 5 972.85,,,,,,
,SAN MARCOS,,*,  0.50,  0.00,  0.50,  0.25,,,,,,
,TAXCO DE ALARCON,,  7,  3.34,  0.58,  2.75,  3.15,,,,,,
,TECOANAPA,,*,  0.50,  0.00,  0.50,  2.43,,,,,,
,TECPAN DE GALEANA,,  20,  47.19,  2.44,  44.75,  155.57,,,,,,
,TELOLOAPAN,,  3,  0.98,  0.00,  0.98,  1.00,,,,,,
,TETIPAC,,  4,  2.04,  0.02,  2.02,  3.06,,,,,,
,TIXTLA DE GUERRERO,,*,  0.13,  0.00,  0.13,  0.02,,,,,,
,TLACOACHISTLAHUACA,,  25,  15.00,  1.75,  13.25,  412.86,,,,,,
,TLACOAPA,,  6,  4.00,  0.00,  4.00,  48.16,,,,,,
,TLALCHAPA,,*,  0.00,  0.00,  0.00,  0.01,,,,,,
,TLAPA DE COMONFORT,,*,  7.00,  0.00,  7.00,  50.00,,,,,,
,TLAPEHUALA,,*,  0.30,  0.30,  0.00,  0.00,,,,,,
,"UNION, LA",,  19,  37.92,  20.07,  17.85,  90.45,,,,,,
,XALPATLAHUAC,,*,  0.50,  0.00,  0.50,  1.00,,,,,,
,XOCHISTLAHUACA,,  154,  37.30,  1.22,  36.08,  138.69,,,,,,
,ZAPOTITLAN TABLAS,,  14,  5.10,  1.60,  3.51,  39.30,,,,,,
,ZIRANDARO,,  7,  11.00,  0.00,  11.00,  16.50,,,,,,
HIDALGO,,, 2 873, 3 174.56,  317.89, 2 856.67, 9 265.83,,,,,,
,AGUA BLANCA DE ITURBIDE,,  19,  16.36,  0.26,  16.10,  44.88,,,,,,
,ATLAPEXCO,,  328,  196.11,  14.88,  181.23, 1 252.62,,,,,,
,CALNALI,,  204,  293.15,  34.00,  259.15,  459.70,,,,,,
,CARDONAL,,*,  0.04,  0.04,  0.00,  0.00,,,,,,
,CUAUTEPEC DE HINOJOSA,,*,  1.00,  1.00,  0.00,  0.00,,,,,,
,CHAPULHUACAN,,  120,  150.43,  25.51,  124.91,  530.74,,,,,,
,ELOXOCHITLAN,,  3,  1.00,  0.55,  0.45,  0.00,,,,,,
,HUAUTLA,,  45,  20.74,  7.75,  12.99,  34.54,,,,,,
,HUAZALINGO,,  143,  212.70,  29.67,  183.03,  191.61,,,,,,
,HUEHUETLA,,  6,  6.00,  1.00,  5.00,  9.00,,,,,,
,HUEJUTLA DE REYES,,  299,  306.12,  29.08,  277.04, 1 075.13,,,,,,
,HUICHAPAN,,*,  3.00,  3.00,  0.00,  0.00,,,,,,
,IXMIQUILPAN,,  3,  0.94,  0.50,  0.44,  14.76,,,,,,
,JACALA DE LEDEZMA,,  4,  2.00,  0.50,  1.50,  2.78,,,,,,
,JALTOCAN,,  102,  91.35,  1.50,  89.85,  231.29,,,,,,
,JUAREZ HIDALGO,,  6,  11.67,  0.67,  11.00,  23.50,,,,,,
,LOLOTLA,,  28,  41.12,  22.44,  18.69,  247.75,,,,,,
,MINERAL DEL CHICO,,*,  1.00,  0.49,  0.51,  0.00,,,,,,
,"MISION, LA",,  8,  11.25,  2.75,  8.50,  44.14,,,,,,
,MOLANGO DE ESCAMILLA,,  109,  149.04,  15.50,  133.54,  472.63,,,,,,
,NICOLAS FLORES,,*,  0.85,  0.00,  0.85,  10.00,,,,,,
,OMITLAN DE JUAREZ,,*,  0.33,  0.00,  0.33,  25.00,,,,,,
,SAN FELIPE ORIZATLAN,,  423,  603.01,  37.50,  565.52, 2 014.22,,,,,,
,PACHUCA DE SOTO,,*,  1.75,  0.00,  1.75,  1.80,,,,,,
,PISAFLORES,,  67,  86.01,  9.26,  76.75,  163.86,,,,,,
,SAN AGUSTIN TLAXIACA,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN BARTOLO TUTOTEPEC,,  73,  86.00,  6.50,  79.50,  77.70,,,,,,
,SAN SALVADOR,,*,  0.50,  0.00,  0.50,  42.25,,,,,,
,TASQUILLO,,*,  1.00,  0.00,  1.00,  0.80,,,,,,
,TENANGO DE DORIA,,  19,  16.47,  0.50,  15.97,  14.81,,,,,,
,TEPEHUACAN DE GUERRERO,,  342,  392.75,  18.50,  374.25,  669.55,,,,,,
,TEPETITLAN,,*,  0.50,  0.00,  0.50,  3.00,,,,,,
,TETEPANGO,,*,  1.00,  0.00,  1.00,  0.00,,,,,,
,TIANGUISTENGO,,  158,  162.93,  13.85,  149.08,  111.00,,,,,,
,TLAHUILTEPA,,  14,  14.25,  1.00,  13.25,  101.80,,,,,,
,TLANCHINOL,,  110,  106.64,  6.63,  100.01,  297.69,,,,,,
,XOCHIATIPAN,,  109,  93.50,  1.75,  91.75,  868.45,,,,,,
,XOCHICOATLAN,,  70,  56.04,  9.50,  46.54,  140.54,,,,,,
,YAHUALICA,,  30,  25.50,  20.00,  5.50,  55.00,,,,,,
,ZACUALTIPAN DE ANGELES,,  14,  9.37,  1.75,  7.62,  26.28,,,,,,
,ZIMAPAN,,  3,  1.15,  0.06,  1.08,  7.00,,,,,,
JALISCO,,, 12 211, 57 201.01,  607.23, 56 593.78,4 199 390.40,,,,,,
,ACATLAN DE JUAREZ,,  431, 1 554.07,  7.50, 1 546.57, 112 020.50,,,,,,
,AHUALULCO DE MERCADO,,  721, 3 515.29,  4.00, 3 511.29, 260 828.10,,,,,,
,AMATITAN,,  33,  143.95,  0.00,  143.95, 9 287.73,,,,,,
,AMECA,, 1 181, 4 122.19,  36.15, 4 086.04, 311 871.31,,,,,,
,ANTONIO ESCOBEDO,,  606, 1 892.14,  7.70, 1 884.44, 139 148.29,,,,,,
,ARENAL,,  313, 1 952.79,  2.00, 1 950.79, 133 666.28,,,,,,
,ATOTONILCO EL ALTO,,  3,  2.35,  0.00,  2.35,  43.72,,,,,,
,ATOYAC,,  4,  5.27,  0.00,  5.27,  150.52,,,,,,
,AUTLAN DE NAVARRO,,  493, 3 955.26,  25.30, 3 929.96, 372 210.16,,,,,,
,AYOTLAN,,  61,  114.80,  1.00,  113.80, 5 803.04,,,,,,
,AYUTLA,,*,  3.25,  0.00,  3.25,  12.00,,,,,,
,BOLAÑOS,,*,  0.50,  0.00,  0.50,  7.00,,,,,,
,CABO CORRIENTES,,*,  0.00,  0.00,  0.00,  0.09,,,,,,
,CASIMIRO CASTILLO,,  649, 3 018.94,  56.92, 2 962.02, 221 238.12,,,,,,
,CIUDAD GUZMAN,,  9,  89.50,  0.00,  89.50, 9 069.32,,,,,,
,COCULA,,  549, 1 952.73,  3.00, 1 949.73, 128 346.85,,,,,,
,CUAUTITLAN,,  152,  839.66,  1.00,  838.66, 58 668.52,,,,,,
,CHAPALA,,*,  0.03,  0.00,  0.03,  1.00,,,,,,
,CHIMALTITAN,,*,  0.86,  0.00,  0.86,  76.50,,,,,,
,CHIQUILISTLAN,,  8,  5.00,  0.00,  5.00,  4.44,,,,,,
,EJUTLA,,*,  5.00,  0.00,  5.00,  613.80,,,,,,
,ETZATLAN,,  129,  446.50,  10.50,  436.00, 29 458.07,,,,,,
,"GRULLO, EL",,  332, 2 396.87,  34.37, 2 362.50, 193 357.33,,,,,,
,HOSTOTIPAQUILLO,,*,  5.25,  0.00,  5.25,  40.00,,,,,,
,"HUERTA, LA",,  89,  567.96,  3.00,  564.96, 37 815.75,,,,,,
,IXTLAHUACAN DE LOS MEMBRILLOS,,*,  0.25,  0.00,  0.25,  1.50,,,,,,
,IXTLAHUACAN DEL RIO,,  6,  6.75,  0.00,  6.75,  58.42,,,,,,
,JOCOTEPEC,,*,  42.00,  2.00,  40.00, 2 100.00,,,,,,
,JUANACATLAN,,*,  0.01,  0.00,  0.01,  0.00,,,,,,
,JUCHITLAN,,  6,  0.07,  0.01,  0.06,  0.64,,,,,,
,LAGOS DE MORENO,,*,  2.22,  0.00,  2.22,  90.00,,,,,,
,"LIMON, EL",,  118,  650.00,  8.50,  641.50, 52 013.89,,,,,,
,MAZAMITLA,,  28,  110.00,  4.00,  106.00, 5 471.55,,,,,,
,MEZQUITIC,,  28,  14.81,  5.24,  9.57,  176.54,,,,,,
,MIXTLAN,,*,  0.75,  0.00,  0.75,  12.00,,,,,,
,PIHUAMO,,  132,  729.98,  33.15,  696.83, 31 334.68,,,,,,
,PONCITLAN,,*,  0.50,  0.00,  0.50,  0.10,,,,,,
,PUERTO VALLARTA,,  3,  0.01,  0.00,  0.01,  0.23,,,,,,
,VILLA PURIFICACION,,  62,  420.00,  32.50,  387.50, 23 640.22,,,,,,
,SAN MARCOS,,  4,  18.00,  0.00,  18.00,  745.00,,,,,,
,SAN MARTIN HIDALGO,,  640, 2 138.55,  13.70, 2 124.85, 160 471.67,,,,,,
,GOMEZ FARIAS,,*,  11.00,  0.00,  11.00,  90.00,,,,,,
,SAN SEBASTIAN DEL OESTE,,  5,  2.25,  1.75,  0.50,  13.45,,,,,,
,SAYULA,,  33,  158.00,  0.00,  158.00, 15 173.11,,,,,,
,TALA,, 1 977, 9 128.07,  65.11, 9 062.96, 570 149.03,,,,,,
,TALPA DE ALLENDE,,  4,  6.00,  0.00,  6.00,  251.77,,,,,,
,TAMAZULA DE GORDIANO,,  999, 4 843.00,  111.71, 4 731.29, 372 528.91,,,,,,
,TECALITLAN,,  231,  902.20,  24.25,  877.95, 65 037.29,,,,,,
,TECOLOTLAN,,*,  0.69,  0.69,  0.00,  0.00,,,,,,
,TENAMAXTLAN,,*,  28.00,  3.00,  25.00, 2 000.00,,,,,,
,TEQUILA,,  35,  150.00,  3.00,  147.00, 7 053.00,,,,,,
,TEUCHITLAN,,  440, 1 404.83,  9.35, 1 395.48, 93 282.42,,,,,,
,TIZAPAN EL ALTO,,*,  1.00,  0.00,  1.00,  1.50,,,,,,
,TLAJOMULCO DE ZUÑIGA,,  112,  297.25,  0.75,  296.50, 18 599.64,,,,,,
,TOMATLAN,,*,  5.63,  5.63,  0.00,  0.00,,,,,,
,TONILA,,  288, 1 054.86,  1.00, 1 053.86, 71 799.14,,,,,,
,TUXPAN,,  181, 1 789.42,  41.00, 1 748.42, 121 391.16,,,,,,
,UNION DE TULA,,  51,  161.33,  0.00,  161.33, 11 986.03,,,,,,
,CIUDAD VENUSTIANO CARRANZA,,*,  1.00,  0.00,  1.00,  3.00,,,,,,
,VILLA CORONA,,  407, 1 427.06,  4.45, 1 422.61, 108 623.98,,,,,,
,YAHUALICA DE GONZALEZ GALLO,,*,  0.25,  0.00,  0.25,  0.50,,,,,,
,ZACOALCO DE TORRES,,  83,  308.50,  10.00,  298.50, 20 393.28,,,,,,
,ZAPOPAN,,  51,  220.85,  10.00,  210.85, 13 673.10,,,,,,
,ZAPOTILTIC,,  416, 4 300.70,  14.00, 4 286.70, 391 702.97,,,,,,
,ZAPOTITLAN DE VADILLO,,  31,  175.50,  10.00,  165.50, 10 957.50,,,,,,
,ZAPOTLAN DEL REY,,*,  0.01,  0.00,  0.01,  0.37,,,,,,
,ZAPOTLANEJO,,  47,  99.55,  0.00,  99.55, 4 824.40,,,,,,
MEXICO,,,  218,  240.95,  11.42,  229.53, 4 345.08,,,,,,
,ACOLMAN,,*,  0.25,  0.00,  0.25,  1.00,,,,,,
,ACULCO,,*,  1.00,  1.00,  0.00,  0.00,,,,,,
,AMATEPEC,,  5,  5.00,  1.50,  3.50,  2.40,,,,,,
,COYOTEPEC,,*,  0.91,  0.00,  0.91,  2.00,,,,,,
,DONATO GUERRA,,*,  2.00,  0.00,  2.00,  1.00,,,,,,
,IXTAPALUCA,,*,  0.02,  0.00,  0.02,  0.00,,,,,,
,IXTAPAN DEL ORO,,*,  1.00,  0.00,  1.00,  0.15,,,,,,
,MALINALCO,,  51,  28.99,  0.40,  28.59,  320.93,,,,,,
,NEXTLALPAN,,*,  4.00,  0.00,  4.00,  0.00,,,,,,
,OCUILAN,,  5,  3.20,  0.25,  2.95,  23.75,,,,,,
,OTZOLOAPAN,,*,  0.50,  0.00,  0.50,  3.50,,,,,,
,SANTO TOMAS,,*,  0.58,  0.00,  0.58,  60.83,,,,,,
,SULTEPEC,,  35,  31.92,  5.75,  26.17,  34.45,,,,,,
,TEJUPILCO,,  15,  4.49,  0.70,  3.79,  6.83,,,,,,
,TEMASCALAPA,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,TEMASCALTEPEC,,  61,  132.92,  0.00,  132.92, 3 559.25,,,,,,
,TEPOTZOTLAN,,*,  0.08,  0.00,  0.08,  0.08,,,,,,
,TEXCOCO,,*,  0.62,  0.00,  0.62,  50.00,,,,,,
,TLATLAYA,,  3,  4.00,  0.00,  4.00,  4.00,,,,,,
,TULTITLAN,,*,  1.00,  0.00,  1.00,  0.00,,,,,,
,VALLE DE BRAVO,,  10,  4.05,  1.30,  2.75,  16.83,,,,,,
,XONACATLAN,,*,  0.02,  0.02,  0.00,  0.00,,,,,,
,ZACAZONAPAN,,*,  1.50,  0.00,  1.50,  95.65,,,,,,
,ZACUALPAN,,  14,  10.91,  0.00,  10.91,  152.44,,,,,,
,ZUMPANGO,,*,  1.50,  0.00,  1.50,  10.00,,,,,,
MICHOACAN,,, 5 303, 20 068.77,  346.39, 19 722.37,1 475 992.48,,,,,,
,AGUILILLA,,  3,  5.58,  0.33,  5.25,  1.00,,,,,,
,ALVARO OBREGON,,*,  1.50,  1.50,  0.00,  0.00,,,,,,
,AQUILA,,  8,  6.00,  1.00,  5.00,  23.99,,,,,,
,ARIO,,  29,  57.17,  14.90,  42.27,  146.50,,,,,,
,ARTEAGA,,*,  1.00,  0.00,  1.00,  2.00,,,,,,
,BUENAVISTA,,  44,  122.00,  0.50,  121.50, 9 855.13,,,,,,
,COALCOMAN DE VAZQUEZ PALLARES,,  9,  11.50,  0.00,  11.50,  8.25,,,,,,
,COTIJA,,  242, 1 282.65,  20.90, 1 261.75, 102 626.27,,,,,,
,CHINICUILA,,*,  1.00,  0.00,  1.00,  20.00,,,,,,
,GABRIEL ZAMORA,,  3,  4.50,  0.00,  4.50,  13.50,,,,,,
,"HUACANA, LA",,  4,  2.50,  0.00,  2.50,  1.01,,,,,,
,HUANDACAREO,,*,  0.05,  0.00,  0.05,  0.15,,,,,,
,HUETAMO,,  4,  8.63,  0.00,  8.63,  2.00,,,,,,
,IXTLAN,,*,  5.00,  0.00,  5.00,  350.00,,,,,,
,JIMENEZ,,*,  1.25,  0.00,  1.25,  0.50,,,,,,
,JIQUILPAN,,*,  8.00,  0.00,  8.00,  600.00,,,,,,
,JUNGAPEO,,*,  1.27,  0.25,  1.02,  2.00,,,,,,
,MADERO,,*,  0.50,  0.00,  0.50,  5.00,,,,,,
,LAZARO CARDENAS,,  4,  3.08,  0.00,  3.08,  0.30,,,,,,
,MORELIA,,*,  0.50,  0.00,  0.50,  3.73,,,,,,
,MUGICA,,*,  0.00,  0.00,  0.00,  0.02,,,,,,
