,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
07100,CHIAPAS,Tumbalá,0.4,0.4,0.3,0.5,0.6,0.5
07101,CHIAPAS,Tuxtla Gutiérrez,1.7,1.7,1.8,1.5,2.4,2.6
07102,CHIAPAS,Tuxtla Chico,0.2,0.2,0.4,0.5,0.5,0.5
07103,CHIAPAS,Tuzantán,0.3,0.3,0.3,0.3,0.3,0.3
07104,CHIAPAS,Tzimol,0.7,0.7,1.0,1.2,1.1,1.1
07105,CHIAPAS,Unión Juárez,0.5,0.7,0.9,1.0,1.1,0.6
07106,CHIAPAS,Venustiano Carranza,1.0,1.0,0.8,0.8,1.0,0.9
07107,CHIAPAS,Villa Corzo,0.4,0.4,0.5,0.6,0.6,0.5
07108,CHIAPAS,Villaflores,1.0,1.0,1.3,1.3,1.3,1.3
07109,CHIAPAS,Yajalón,1.5,1.4,1.4,1.4,1.4,1.4
07110,CHIAPAS,San Lucas,0.2,0.2,0.2,0.2,0.2,0.1
07111,CHIAPAS,Zinacantán,0.2,0.2,0.2,0.2,0.4,0.4
07112,CHIAPAS,San Juan Cancuc,0.2,0.2,0.2,0.2,0.4,0.4
07113,CHIAPAS,Aldama,0.4,0.4,0.8,0.8,0.6,0.4
07114,CHIAPAS,Benemérito de las Américas,1.3,1.1,1.0,0.9,1.2,1.2
07115,CHIAPAS,Maravilla Tenejapa,0.6,0.5,0.6,0.5,0.5,0.3
07116,CHIAPAS,Marqués de Comillas,0.4,0.3,0.3,0.3,0.3,0.3
07117,CHIAPAS,Montecristo de Guerrero,0.8,0.8,0.3,0.4,0.6,0.4
07118,CHIAPAS,San Andrés Duraznal,0.0,0.0,0.0,0.0,0.0,0.0
07119,CHIAPAS,Santiago el Pinar,n.d.,0.0,0.0,0.0,0.0,0.0
08001,CHIHUAHUA,Ahumada,1.0,1.3,1.2,1.2,1.1,1.2
08002,CHIHUAHUA,Aldama,1.3,1.4,1.6,1.9,1.5,1.6
08003,CHIHUAHUA,Allende,3.3,3.1,3.2,3.2,3.5,3.3
08004,CHIHUAHUA,Aquiles Serdán,1.4,1.3,1.1,1.0,0.8,0.7
08005,CHIHUAHUA,Ascensión,0.9,1.0,0.9,0.9,0.6,0.7
08006,CHIHUAHUA,Bachíniva,1.2,1.2,1.0,1.2,1.0,1.2
08007,CHIHUAHUA,Balleza,1.0,1.0,1.1,1.1,0.8,0.7
08008,CHIHUAHUA,Batopilas,0.9,1.0,1.0,1.0,0.5,0.5
08009,CHIHUAHUA,Bocoyna,2.0,2.0,1.9,2.0,2.4,2.3
08010,CHIHUAHUA,Buenaventura,1.0,1.1,1.4,1.1,0.8,0.8
