,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  159,  562.70,,,,,,
04,,,,MAS DE    5 HASTA   20 HA., 1 404, 15 659.28,,,,,,
04,,,,MAS DE   20 HASTA   50 HA., 3 700, 78 788.47,,,,,,
04,,,,MAS DE   50 HASTA  100 HA., 1 541, 56 248.62,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  618, 109 373.62,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,  35, 25 567.47,,,,,,
04,,,,MAS DE 2500 HA.,  16, 33 347.00,,,,,,
04,004,,CHAMPOTON,, 8 794, 139 880.03,,,,,,
04,,,,HASTA    2 HA., 2 594, 3 525.61,,,,,,
04,,,,MAS DE    2 HASTA    5 HA., 1 799, 6 078.61,,,,,,
04,,,,MAS DE    5 HASTA   20 HA., 1 392, 11 733.09,,,,,,
04,,,,MAS DE   20 HASTA   50 HA., 1 887, 35 407.58,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  836, 30 220.90,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  276, 44 856.24,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,*, 4 835.00,,,,,,
04,,,,MAS DE 2500 HA.,*, 3 223.00,,,,,,
04,005,,HECELCHAKAN,, 1 626, 11 934.69,,,,,,
04,,,,HASTA    2 HA.,  682,  899.35,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  585, 2 088.42,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  317, 2 465.40,,,,,,
04,,,,MAS DE   20 HASTA   50 HA.,  11,  306.26,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,*,  423.00,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  23, 4 266.75,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,*,  0.01,,,,,,
04,,,,MAS DE 2500 HA.,*, 1 485.50,,,,,,
04,006,,HOPELCHEN,, 5 430, 47 433.51,,,,,,
04,,,,HASTA    2 HA., 1 115, 1 678.25,,,,,,
04,,,,MAS DE    2 HASTA    5 HA., 1 607, 5 502.69,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  821, 6 118.08,,,,,,
04,,,,MAS DE   20 HASTA   50 HA., 1 165, 10 464.63,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  543, 9 174.61,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  168, 10 275.77,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,  8, 1 052.50,,,,,,
04,,,,MAS DE 2500 HA.,  3, 3 167.00,,,,,,
04,007,,PALIZADA,,  939, 39 992.47,,,,,,
04,,,,HASTA    2 HA.,  154,  146.44,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  177,  377.31,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  247, 1 799.09,,,,,,
04,,,,MAS DE   20 HASTA   50 HA.,  127, 1 997.99,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  70, 2 363.63,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  146, 19 778.50,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,*, 8 929.52,,,,,,
04,,,,MAS DE 2500 HA.,*, 4 600.00,,,,,,
04,008,,TENABO,,  954, 4 530.68,,,,,,
04,,,,HASTA    2 HA.,  270,  379.94,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  417, 1 456.93,,,,,,
04,,,,MAS DE    5 HASTA   20 HA.,  175, 1 379.55,,,,,,
04,,,,MAS DE   20 HASTA   50 HA.,  53,  288.77,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  15,  260.65,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  19,  605.32,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,*,  153.52,,,,,,
04,,,,MAS DE 2500 HA.,*,  6.00,,,,,,
04,009,,ESCARCEGA,, 4 485, 131 030.31,,,,,,
04,,,,HASTA    2 HA.,  62,  100.25,,,,,,
04,,,,MAS DE    2 HASTA    5 HA.,  93,  328.18,,,,,,
04,,,,MAS DE    5 HASTA   20 HA., 1 589, 15 344.61,,,,,,
04,,,,MAS DE   20 HASTA   50 HA., 1 953, 32 524.31,,,,,,
04,,,,MAS DE   50 HASTA  100 HA.,  486, 14 312.93,,,,,,
04,,,,MAS DE  100 HASTA 1000 HA.,  290, 55 731.34,,,,,,
04,,,,MAS DE 1000 HASTA 2500 HA.,*, 11 739.69,,,,,,
04,,,,MAS DE 2500 HA.,*,  949.00,,,,,,
05,,COAHUILA,,, 50 994, 523 172.77,,,,,,
05,,,,HASTA    2 HA., 7 920, 11 475.51,,,,,,
05,,,,MAS DE    2 HASTA    5 HA., 22 101, 72 000.34,,,,,,
05,,,,MAS DE    5 HASTA   20 HA., 16 371, 121 609.00,,,,,,
05,,,,MAS DE   20 HASTA   50 HA., 1 630, 34 870.23,,,,,,
05,,,,MAS DE   50 HASTA  100 HA., 1 045, 44 829.41,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA., 1 426, 109 767.47,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,  232, 35 400.91,,,,,,
05,,,,MAS DE 2500 HA.,  269, 93 219.91,,,,,,
05,001,,ABASOLO,,  225, 4 814.77,,,,,,
05,,,,HASTA    2 HA.,  7,  14.00,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  51,  177.68,,,,,,
