"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TUZANTAN,,, 2 469,  126, 2 300,  7,  36,,,
,TZIMOL,,, 1 124,  209,  887,-,  28,,,
,UNION JUAREZ,,, 1 301,  168, 1 121,  12,-,,,
,VENUSTIANO CARRANZA,,, 5 659, 1 287, 4 355,*,  15,,,
,VILLA CORZO,,, 6 145,  447, 5 147,  500,  51,,,
,VILLAFLORES,,, 6 453,  571, 5 815,-,  67,,,
,YAJALON,,, 1 597,  472, 1 108,  4,  13,,,
,SAN LUCAS,,,  840,  286,  554,-,-,,,
,ZINACANTAN,,, 4 957, 2 905, 1 640,-,  412,,,
,SAN JUAN CANCUC,,, 2 756, 1 865,  888,-,  3,,,
CHIHUAHUA,,,, 92 096, 36 775, 48 592,  389, 6 340,,,
,AHUMADA,,,  632,  71,  464,-,  97,,,
,ALDAMA,,,  947,  328,  465,  12,  142,,,
,ALLENDE,,, 1 132,  174,  908,  5,  45,,,
,AQUILES SERDAN,,,  164,  48,  39,-,  77,,,
,ASCENSION,,, 1 182,  81,  679,  18,  404,,,
,BACHINIVA,,, 1 593,  191, 1 295,-,  107,,,
,BALLEZA,,, 1 852, 1 473,  216,*,  162,,,
,BATOPILAS,,, 1 492, 1 309,  92,*,  90,,,
