"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,TLAHUAC, 5 023.15, 2 440.64,-, 2 582.18,-,0.33
,TLALPAN, 6 839.84, 2 281.83, 4 070.91,482.52,-,4.57
,XOCHIMILCO, 2 741.42,155.85,167.19, 2 418.38,-,-
DURANGO,,6 175 440.85,1 989 773.48,1 015 250.14,3 088 458.05, 67 103.10, 14 856.10
,CANATLAN, 187 038.56, 115 901.34,-, 70 212.22,748,177
,CANELAS, 83 586.93, 10 790.05, 8 502.54, 64 201.34,-,93
,CONETO DE COMONFORT, 29 139.32, 4 509.99,337.34, 22 254.96,10.13, 2 026.90
,CUENCAME, 257 989.59, 30 969.28,5, 226 409.54,213.5,392.27
,DURANGO, 541 898.90, 209 712.08, 35 044.38, 296 372.19,168.91,601.34
,GENERAL SIMON BOLIVAR, 80 937.09, 17 306.25,890.82, 62 637.52,102.5,-
,GOMEZ PALACIO, 60 180.03, 33 485.73,6, 26 264.33,270.47,153.5
,GUADALUPE VICTORIA, 85 209.61, 45 781.51,-, 39 394.09,-,34
,GUANACEVI, 317 446.13, 220 543.45, 7 444.54, 89 458.14,-,-
,HIDALGO, 306 372.24, 11 250.46, 1 165.57, 270 487.18, 23 469.03,-
,INDE, 135 385.74, 4 903.28, 17 433.34, 94 925.13, 17 809.00,315
,LERDO, 47 489.09, 16 237.34,61.62, 30 815.72,-,374.42
,MAPIMI, 442 582.47, 64 747.34,560, 372 559.53, 4 513.60,202
,MEZQUITAL, 463 638.33, 9 566.45, 349 448.29, 101 810.34, 2 805.00,8.25
,NAZAS, 31 065.76, 8 534.34,6.75, 22 524.67,-,-
,NOMBRE DE DIOS, 75 415.95, 38 168.53,9.13, 37 130.78,-,107.5
,OCAMPO, 177 824.14, 71 935.56, 6 288.44, 86 317.72, 13 201.19,81.23
,"ORO, EL", 120 375.66, 9 880.53, 1 807.93, 108 499.21,-,188
,OTAEZ, 52 670.74, 25 619.54, 23 360.68, 3 690.52,-,-
,PANUCO DE CORONADO, 65 031.14, 14 481.26,64, 50 474.88,-,11
,PE„ON BLANCO, 133 848.55, 15 438.88,109, 114 957.17,-, 3 343.50
,POANAS, 59 651.50, 23 277.58,4, 36 281.67,78,10.26
,PUEBLO NUEVO, 411 536.74, 204 988.04, 167 533.99, 39 008.71,-,6
,RODEO, 41 247.95, 31 788.57,5, 9 135.45,-,318.94
,SAN BERNARDO, 64 134.96, 6 519.25,37.5, 57 563.21,-,15
,SAN DIMAS, 383 887.12, 227 016.23, 2 625.50, 154 243.39,-,2
,SAN JUAN DE GUADALUPE, 22 299.75, 3 099.68, 3 228.38, 15 960.60,-,11.1
,SAN JUAN DEL RIO, 80 371.69, 14 158.10, 3 006.76, 57 168.33,-, 6 038.50
,SAN LUIS DEL CORDERO, 20 691.56, 4 484.88,-, 16 206.67,-,-
,SAN PEDRO DEL GALLO, 132 206.63, 9 902.91,-, 119 236.98, 3 066.74,-
,SANTA CLARA, 36 132.75, 11 375.74, 4 835.81, 19 921.19,-,-
,SANTIAGO PAPASQUIARO, 348 654.24, 195 804.14, 40 283.91, 112 501.05,30,35.13
,SUCHIL, 73 154.53, 4 205.25,1, 68 944.53,-,3.75
,TAMAZULA, 143 476.52, 80 532.88, 46 123.28, 16 746.85,45.25,28.25
,TEPEHUANES, 342 674.54, 28 008.10, 287 058.36, 27 599.08,-,9
,TLAHUALILO, 158 455.37, 104 342.83,-, 54 005.41,-,107.13
