"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,SANTA CATARINA JUQUILA, 17 071.54,-, 17 071.54,-,-,-
,SANTA CATARINA LACHATAO, 24 677.00,-, 24 677.00,-,-,-
,SANTA CATARINA LOXICHA, 2 857.25,-, 2 857.25,-,-,-
,SANTA CATARINA MECHOACAN, 4 151.75, 4 151.75,-,-,-,-
,SANTA CATARINA MINAS,617,-,226.29,390.72,-,-
,SANTA CATARINA QUIANE,869.53,481.89,39.01,348.63,-,-
,SANTA CATARINA TAYATA, 2 366.57,-, 2 366.57,-,-,-
,SANTA CATARINA TICUA,400.98,-,400.98,-,-,-
,SANTA CATARINA YOSONOTU, 1 108.73,-, 1 108.73,-,-,-
,SANTA CATARINA ZAPOQUILA,222.5,61.75,160.75,-,-,-
,SANTA CRUZ ACATEPEC, 1 209.56,-,-, 1 209.56,-,-
,SANTA CRUZ AMILPAS,20.62,-,20.62,-,-,-
,SANTA CRUZ DE BRAVO, 2 113.25,-,-, 2 113.25,-,-
,SANTA CRUZ ITUNDUJIA, 7 036.31,140.25, 6 896.06,-,-,-
,SANTA CRUZ MIXTEPEC, 1 762.08,519.09, 1 242.98,-,-,-
,SANTA CRUZ NUNDACO, 1 427.75,-, 1 427.75,-,-,-
,SANTA CRUZ PAPALUTLA,453.03,-,453.03,-,-,-
,SANTA CRUZ TACACHE DE MINA, 1 409.64, 1 408.28,1.36,-,-,-
,SANTA CRUZ TACAHUA, 1 405.19,-, 1 405.19,-,-,-
,SANTA CRUZ TAYATA,789.37,170.74,-,618.62,-,-
,SANTA CRUZ XITLA, 1 052.15,-, 1 052.15,-,-,-
,SANTA CRUZ XOXOCOTLAN, 4 036.26, 1 242.14,235.71, 1 631.40,-,927
,SANTA CRUZ ZENZONTEPEC, 6 292.33,-, 6 292.33,-,-,-
,SANTA GERTRUDIS, 1 589.79, 1 589.79,-,-,-,-
,SANTA INES DEL MONTE, 2 124.21,2, 1 916.21,206,-,-
,SANTA INES YATZECHE,309.42,-,-,309.42,-,-
,SANTA LUCIA DEL CAMINO,362.43,148.52,88,125.91,-,-
,SANTA LUCIA MIAHUATLAN, 1 284.00,-,217.75, 1 066.25,-,-
,SANTA LUCIA MONTEVERDE, 6 654.62, 2 905.87, 3 748.75,-,-,-
,SANTA LUCIA OCOTLAN,731.27,609.02,-,122.25,-,-
,SANTA MARIA ALOTEPEC, 2 721.38,-, 2 721.38,-,-,-
,SANTA MARIA APAZCO, 1 434.79,-, 1 434.79,-,-,-
,SANTA MARIA LA ASUNCION, 1 821.87,-,-, 1 821.87,-,-
,HEROICA CIUDAD DE TLAXIACO, 30 525.78,212.12, 1 739.60, 28 574.06,-,-
,AYOQUEZCO DE ALDAMA, 9 473.97,-, 5 435.78, 4 038.20,-,-
,SANTA MARIA ATZOMPA, 2 744.47, 1 262.78,-, 1 479.69,-,2
,SANTA MARIA CAMOTLAN,435.33,-,429.33,-,-,6
,SANTA MARIA COLOTEPEC, 15 646.71,-, 15 646.71,-,-,-
,SANTA MARIA CORTIJO, 7 278.25, 7 278.25,-,-,-,-
,SANTA MARIA COYOTEPEC,252.93,101.08,4.75,147.1,-,-
,SANTA MARIA CHACHOAPAM,911.5,-,498.75,412.75,-,-
,SANTA MARIA CHILAPA DE DIAZ,909.02,-,261.71,647.31,-,-
,SANTA MARIA CHILCHOTLA, 17 895.98,576.63,200.75, 17 118.60,-,-
,SANTA MARIA CHIMALAPA, 38 335.63, 8 297.50, 28 959.56, 1 078.57,-,-
,SANTA MARIA DEL ROSARIO,530.19,-,399.54,130.64,-,-
,SANTA MARIA DEL TULE,671.54,503.09,-,168.45,-,-
,SANTA MARIA ECATEPEC, 2 073.06,-, 2 073.06,-,-,-
,SANTA MARIA GUELACE,20.67,2,-,18.67,-,-
,SANTA MARIA GUIENAGATI, 4 139.25,-, 4 139.25,-,-,-
,SANTA MARIA HUATULCO, 18 184.78,-, 11 358.00, 3 231.17,-, 3 595.61
,SANTA MARIA HUAZOLOTITLAN, 16 861.54, 16 861.54,-,-,-,-
,SANTA MARIA IPALAPA, 5 049.08, 2 720.81, 2 328.27,-,-,-
,SANTA MARIA IXCATLAN,62.36,-,62.36,-,-,-
,SANTA MARIA JACATEPEC, 16 117.00, 10 654.20, 3 763.23, 1 668.57,-,30.99
,SANTA MARIA JALAPA DEL MARQUES, 3 082.24,-, 3 082.24,-,-,-
,SANTA MARIA JALTIANGUIS, 2 828.19,-, 2 828.19,-,-,-
,SANTA MARIA LACHIXIO,238.5,-,238.5,-,-,-
,SANTA MARIA MIXTEQUILLA, 1 121.69,3, 1 118.69,-,-,-
,SANTA MARIA NATIVITAS,565.15,-,565.15,-,-,-
,SANTA MARIA NDUAYACO,431.76,-,431.76,-,-,-
,SANTA MARIA OZOLOTEPEC, 6 807.75,-, 6 807.75,-,-,-
,SANTA MARIA PAPALO,542.75,-,542.75,-,-,-
,SANTA MARIA PE„OLES, 2 437.47,-, 2 437.47,-,-,-
,SANTA MARIA PETAPA, 4 417.37,-, 4 417.37,-,-,-
,SANTA MARIA QUIEGOLANI,372.87,-,372.87,-,-,-
,SANTA MARIA SOLA, 4 743.49,563.25,113, 4 067.24,-,-
,SANTA MARIA TATALTEPEC,251.38,-,115.87,135.51,-,-
,SANTA MARIA TECOMAVACA, 4 153.08,-, 4 059.08,-,-,94
,SANTA MARIA TEMAXCALAPA,313.75,-,313.75,-,-,-
,SANTA MARIA TEMAXCALTEPEC, 2 660.00,-, 2 660.00,-,-,-
,SANTA MARIA TEOPOXCO, 3 123.57,-, 3 123.57,-,-,-
,SANTA MARIA TEPANTLALI, 2 020.98,-, 2 020.98,-,-,-
,SANTA MARIA TEXCATITLAN, 1 329.82,-, 1 329.82,-,-,-
,SANTA MARIA TLAHUITOLTEPEC, 5 015.21,-, 5 015.21,-,-,-
,SANTA MARIA TLALIXTAC, 6 217.00,-,-, 6 217.00,-,-
,SANTA MARIA TONAMECA, 21 733.07,-, 21 489.07,244,-,-
,SANTA MARIA TOTOLAPILLA,627.75,-,627.75,-,-,-
,SANTA MARIA XADANI, 1 977.29,-,-, 1 977.29,-,-
,SANTA MARIA YALINA,50.01,-,50.01,-,-,-
,SANTA MARIA YAVESIA,167.12,-,167.12,-,-,-
,SANTA MARIA YOLOTEPEC,279.5,-,279.5,-,-,-
,SANTA MARIA YOSOYUA,482.46,-,482.46,-,-,-
,SANTA MARIA YUCUHITI, 4 558.60,35.75, 4 522.85,-,-,-
,SANTA MARIA ZACATEPEC, 12 161.12,-, 12 161.12,-,-,-
,SANTA MARIA ZANIZA,159.35,-,159.35,-,-,-
,SANTA MARIA ZOQUITLAN,941.26,-,941.26,-,-,-
,SANTIAGO AMOLTEPEC, 4 184.12,-, 4 184.12,-,-,-
,SANTIAGO APOALA,536.66,-,536.66,-,-,-
,SANTIAGO APOSTOL, 3 464.99,-,-, 3 464.99,-,-
,SANTIAGO ASTATA, 1 455.41,4, 1 451.41,-,-,-
,SANTIAGO ATITLAN, 1 871.23,-, 1 871.23,-,-,-
,SANTIAGO AYUQUILILLA,590,-,590,-,-,-
,SANTIAGO CACALOXTEPEC,323.75,-,323.75,-,-,-
,SANTIAGO CAMOTLAN, 3 285.00,-, 1 578.75, 1 706.25,-,-
,SANTIAGO COMALTEPEC, 6 862.95,-, 6 862.95,-,-,-
,SANTIAGO CHAZUMBA, 1 010.79,160.86,686.79,163.14,-,-
,SANTIAGO CHOAPAM, 5 672.16,-, 5 672.16,-,-,-
,SANTIAGO DEL RIO, 3 092.89,-, 3 092.89,-,-,-
,SANTIAGO HUAJOLOTITLAN, 2 175.23,596.6,595.85,982.79,-,-
,SANTIAGO HUAUCLILLA,277.03,-,277.03,-,-,-
,SANTIAGO IHUITLAN PLUMAS,346.5,-,346.5,-,-,-
,SANTIAGO IXCUINTEPEC, 2 702.00,-, 2 702.00,-,-,-
,SANTIAGO IXTAYUTLA, 6 490.88, 6 488.88,-,2,-,-
,SANTIAGO JAMILTEPEC, 17 870.83, 17 870.83,-,-,-,-
,SANTIAGO JOCOTEPEC, 43 482.69, 31 331.95, 8 217.59, 3 933.15,-,-
,SANTIAGO JUXTLAHUACA, 66 764.11,480.9, 66 283.22,-,-,-
,SANTIAGO LACHIGUIRI, 19 077.87,-, 19 077.87,-,-,-
,SANTIAGO LALOPA,281.25,-,281.25,-,-,-
,SANTIAGO LAOLLAGA, 2 708.52,531.42, 1 967.10,210,-,-
,SANTIAGO LAXOPA,355.83,-,355.83,-,-,-
,SANTIAGO LLANO GRANDE, 6 526.57, 5 813.92,-,712.65,-,-
,SANTIAGO MATATLAN, 1 713.29,624.97, 1 088.32,-,-,-
,SANTIAGO MILTEPEC,447.72,-,-,447.72,-,-
,SANTIAGO MINAS, 1 036.11,2, 1 034.11,-,-,-
,SANTIAGO NACALTEPEC, 1 697.37, 1 161.29,536.08,-,-,-
,SANTIAGO NEJAPILLA,92.54,-,39.21,53.33,-,-
,SANTIAGO NUNDICHE, 1 140.40,-, 1 140.40,-,-,-
,SANTIAGO NUYOO, 2 404.52,-, 2 404.52,-,-,-
,SANTIAGO PINOTEPA NACIONAL, 95 933.14, 63 019.38,-, 32 913.76,-,-
,SANTIAGO SUCHILQUITONGO, 2 428.58,350.81,319.48, 1 758.29,-,-
,SANTIAGO TAMAZOLA, 1 811.75,642.75,-, 1 169.00,-,-
,SANTIAGO TAPEXTLA, 9 512.47, 9 512.47,-,-,-,-
,VILLA TEJUPAM DE LA UNION, 2 250.94,-,814.51, 1 436.43,-,-
,SANTIAGO TENANGO, 3 464.60,-, 3 464.60,-,-,-
,SANTIAGO TEPETLAPA,217.66,-,217.66,-,-,-
,SANTIAGO TETEPEC, 9 046.17, 9 046.17,-,-,-,-
,SANTIAGO TEXCALCINGO, 2 727.08,-, 2 727.08,-,-,-
,SANTIAGO TEXTITLAN,437.41,-,437.41,-,-,-
,SANTIAGO TILANTONGO, 2 534.61,-, 2 534.61,-,-,-
,SANTIAGO TILLO, 3 202.50,-,54.5, 3 148.00,-,-
,SANTIAGO TLAZOYALTEPEC, 1 141.34,-, 1 141.34,-,-,-
,SANTIAGO XANICA, 8 401.44,148.5, 1 213.25, 7 039.69,-,-
,SANTIAGO XIACUI,410.25,-,410.25,-,-,-
,SANTIAGO YAITEPEC, 1 704.92,-, 1 704.92,-,-,-
,SANTIAGO YAVEO, 85 748.11, 3 221.80, 17 439.65, 65 086.66,-,-
,SANTIAGO YOLOMECATL, 3 343.71,-,-, 3 331.46,-,12.25
,SANTIAGO YOSONDUA, 4 112.54,-, 1 110.29, 3 002.25,-,-
,SANTIAGO YUCUYACHI, 5 886.50,165,340, 5 381.50,-,-
,SANTIAGO ZACATEPEC, 3 526.00,-, 3 526.00,-,-,-
,SANTIAGO ZOOCHILA,64.66,-,64.66,-,-,-
,NUEVO ZOQUIAPAM,495.37,-,495.37,-,-,-
,SANTO DOMINGO INGENIO, 22 395.12,-, 22 395.12,-,-,-
,SANTO DOMINGO ALBARRADAS,757.93,-,757.93,-,-,-
,SANTO DOMINGO ARMENTA, 8 421.96, 8 421.96,-,-,-,-
,SANTO DOMINGO CHIHUITAN, 2 204.27,-, 2 204.27,-,-,-
,SANTO DOMINGO DE MORELOS, 6 846.76,-, 6 846.76,-,-,-
,SANTO DOMINGO IXCATLAN,315,-,315,-,-,-
,SANTO DOMINGO NUXAA, 5 857.75,-, 5 857.75,-,-,-
,SANTO DOMINGO OZOLOTEPEC,796.5,-,796.5,-,-,-
,SANTO DOMINGO PETAPA, 17 993.04,-, 17 993.04,-,-,-
,SANTO DOMINGO ROAYAGA,460.25,-,460.25,-,-,-
,SANTO DOMINGO TEHUANTEPEC, 15 075.71, 9 254.23, 4 039.02, 1 765.97,-,16.5
,SANTO DOMINGO TEOJOMULCO, 1 831.00,-, 1 831.00,-,-,-
,SANTO DOMINGO TEPUXTEPEC, 1 927.35,-, 1 927.35,-,-,-
,SANTO DOMINGO TLATAYAPAM,209.25,-,202.75,6.5,-,-
,SANTO DOMINGO TOMALTEPEC,567.64,70.29,133.5,363.85,-,-
,SANTO DOMINGO TONALA, 3 039.74, 1 059.24, 1 085.34,895.16,-,-
,SANTO DOMINGO TONALTEPEC,289.54,-,289.54,-,-,-
,SANTO DOMINGO XAGACIA,870.74,-,870.74,-,-,-
,SANTO DOMINGO YANHUITLAN, 2 048.89,-, 1 206.20,842.69,-,-
,SANTO DOMINGO YODOHINO, 3 843.45,-,-,276.45,-, 3 567.00
,SANTO DOMINGO ZANATEPEC, 22 942.85, 8 991.03, 8 000.28, 5 927.57,-,23.97
,SANTOS REYES NOPALA, 10 545.62,-, 8 074.62, 2 471.00,-,-
,SANTOS REYES PAPALO,915.26,-,915.26,-,-,-
,SANTOS REYES TEPEJILLO, 3 752.39,-, 3 752.39,-,-,-
,SANTOS REYES YUCUNA,474.25,-,474.25,-,-,-
,SANTO TOMAS JALIEZA, 1 239.25,455.77,780.48,3,-,-
,SANTO TOMAS MAZALTEPEC, 1 793.14,-, 1 793.14,-,-,-
,SANTO TOMAS OCOTEPEC, 1 510.63,-, 1 200.13,310.5,-,-
,SANTO TOMAS TAMAZULAPAM, 1 027.50,-,-, 1 027.50,-,-
,SAN VICENTE COATLAN, 2 116.18,-, 2 116.18,-,-,-
,SAN VICENTE LACHIXIO,721,448.75,272.25,-,-,-
,SAN VICENTE NU„U,526.96,-,431.11,95.85,-,-
,SILACAYOAPAM, 6 276.38,-, 2 035.24, 4 241.14,-,-
,SITIO DE XITLAPEHUA,551.25,-,-,551.25,-,-
,SOLEDAD ETLA, 2 452.57, 1 690.50,-,762.07,-,-
,VILLA DE TAMAZULAPAM DEL PROGRESO, 4 584.44,0, 1 120.18, 3 446.26,-,18
,TANETZE DE ZARAGOZA,771.5,-,771.5,-,-,-
,TANICHE, 1 807.26, 1 531.59,-,275.67,-,-
,TATALTEPEC DE VALDES, 3 490.83,-, 3 490.83,-,-,-
,TEOCOCUILCO DE MARCOS PEREZ, 4 586.83,-, 4 586.83,-,-,-
,TEOTITLAN DE FLORES MAGON, 2 534.49,298.85,638, 1 596.63,-,1
,TEOTITLAN DEL VALLE,914.3,-,914.3,-,-,-
,TEOTONGO, 1 412.87,-,792.16,620.7,-,-
,TEPELMEME VILLA DE MORELOS, 1 496.58,-, 1 496.58,-,-,-
,TEZOATLAN DE SEGURA Y LUNA, 7 372.38,-, 5 239.22, 2 133.16,-,-
,SAN JERONIMO TLACOCHAHUAYA,934.81,52.52,882.3,-,-,-
,TLACOLULA DE MATAMOROS, 2 734.14,537.42,133.95, 2 060.77,-,2
,TLACOTEPEC PLUMAS,238.25,-,238.25,-,-,-
,TLALIXTAC DE CABRERA,615.77,-,287.86,327.91,-,-
,TOTONTEPEC VILLA DE MORELOS, 3 317.91,-, 3 317.91,-,-,-
,TRINIDAD ZAACHILA,802.4,394.35,129.47,278.58,-,-
,"TRINIDAD VISTA HERMOSA, LA",134.4,-,134.4,-,-,-
,UNION HIDALGO, 11 251.00,-,-, 11 251.00,-,-
,VALERIO TRUJANO, 1 387.45, 1 387.45,-,-,-,-
,SAN JUAN BAUTISTA VALLE NACIONAL, 39 952.49, 29 234.86, 7 917.61, 2 800.02,-,-
,VILLA DIAZ ORDAZ, 3 674.74,366.68, 2 409.11,898.95,-,-
,YAXE,926.16,926.16,-,-,-,-
,MAGDALENA YODOCONO DE PORFIRIO DIA,399.35,-,-,399.35,-,-
,YOGANA,662.79,596.38,-,66.41,-,-
,YUTANDUCHI DE GUERRERO,532,-,532,-,-,-
,VILLA DE ZAACHILA, 2 862.36, 1 783.32,1.5, 1 077.54,-,-
,ZAPOTITLAN DEL RIO,306.52,-,306.52,-,-,-
,ZAPOTITLAN LAGUNAS, 1 896.17,-, 1 896.17,-,-,-
,ZAPOTITLAN PALMAS, 1 355.17,656.67,698.5,-,-,-
,SANTA INES DE ZARAGOZA, 2 378.50,-, 2 378.50,-,-,-
,ZIMATLAN DE ALVAREZ, 4 422.74, 1 681.34,751.54, 1 989.86,-,-
PUEBLA,,2 233 866.83, 517 750.41, 57 945.94,1 611 109.39,-, 47 061.09
,ACAJETE, 11 947.90, 5 691.65,-, 6 256.25,-,-
,ACATENO, 17 051.67, 1 338.49,-, 15 703.45,-,9.73
,ACATLAN, 29 208.18, 4 412.41,0.51, 24 670.36,-,124.91
,ACATZINGO, 10 852.74, 6 262.46,-, 4 589.28,-,1
,ACTEOPAN, 2 117.90,390.8,-, 1 727.10,-,-
,AHUACATLAN, 8 858.86,732.51,-, 8 123.85,-,2.5
,AHUATLAN, 8 886.51,753.5,-, 8 073.01,-,60
,AHUAZOTEPEC, 5 303.17, 2 261.34,-, 3 038.58,-,3.25
,AHUEHUETITLA, 5 184.29,-,-, 5 184.29,-,-
,AJALPAN, 13 692.99, 12 377.35,69.25, 1 246.39,-,-
,ALBINO ZERTUCHE, 4 378.32,-,-, 4 378.32,-,-
,ALJOJUCA, 6 669.97, 4 898.89,-, 1 771.08,-,-
,ALTEPEXI, 2 842.05, 2 095.84,286.35,458.86,-,1
,AMIXTLAN, 3 611.81,127.71,-, 3 279.43,-,204.67
,AMOZOC, 8 279.55, 3 283.48,-, 4 991.57,-,4.5
,AQUIXTLA, 12 634.64,774.3,-, 11 857.59,-,2.75
,ATEMPAN, 5 135.55,-,-, 5 126.23,-,9.31
,ATEXCAL, 13 060.42, 2 337.40,-, 10 699.77,-,23.26
,ATLIXCO, 15 309.31, 7 819.64, 1 748.83, 5 733.84,-,7
,ATOYATEMPAN, 2 587.57,508.9,-, 1 675.90,-,402.77
,ATZALA,623.47,-,-,623.47,-,-
,ATZITZIHUACAN, 6 618.18, 2 663.43,-, 3 946.74,-,8.01
,ATZITZINTLA, 8 123.23, 1 376.75,-, 6 746.48,-,-
,AXUTLA, 11 724.04, 1 101.28,-, 10 622.76,-,-
,AYOTOXCO DE GUERRERO, 10 435.15, 2 950.16,-, 7 474.49,-,10.5
,CALPAN, 6 293.19,955.06,-, 5 336.88,-,1.25
,CALTEPEC, 2 678.58,922.99, 1 747.59,8,-,-
,CAMOCUAUTLA, 1 701.15,42.25,-, 1 657.90,-,1
,CAXHUACAN, 1 215.00,90.75,-, 1 123.74,-,0.5
,COATEPEC,961.22,-,-,929.72,-,31.5
,COATZINGO, 1 617.69, 1 375.19,-,242.5,-,-
,COHETZALA, 4 673.94,-,567.77, 4 106.17,-,-
,COHUECAN, 2 168.53,739.52,-, 1 372.26,-,56.75
,CORONANGO, 2 860.04,912.02,-, 1 947.27,-,0.75
,COXCATLAN, 4 994.31, 4 888.28,-,105.54,-,0.5
,COYOMEAPAN, 10 411.51,325.64, 1 895.12, 8 186.25,-,4.5
,COYOTEPEC, 6 144.96,785.6,-, 5 359.36,-,-
,CUAPIAXTLA DE MADERO, 1 985.04,478.06,-, 1 506.97,-,-
,CUAUTEMPAN, 4 731.10,146.34,-, 4 572.77,-,12
,CUAUTINCHAN, 9 744.95, 2 530.17,-, 7 140.28,-,74.5
,CUAUTLANCINGO, 1 839.47,738.6,-, 1 100.87,-,-
,CUAYUCA DE ANDRADE, 13 310.62, 1 301.00,-, 12 009.62,-,-
,CUETZALAN DEL PROGRESO, 21 278.32,327.06,-, 20 917.66,-,33.6
,CUYOACO, 19 453.91, 8 789.46,-, 10 664.45,-,-
,CHALCHICOMULA DE SESMA, 24 315.28, 19 443.49,-, 4 868.79,-,3
,CHAPULCO, 1 134.83,617.82,-,517.01,-,-
,CHIAUTLA, 66 804.30,880.54,986.18, 64 936.58,-,1
,CHIAUTZINGO, 5 440.44, 2 485.58,-, 2 952.54,-,2.33
,CHICONCUAUTLA, 5 063.81,-,311.84, 4 104.17,-,647.8
,CHICHIQUILA, 10 795.31,-,-, 10 757.36,-,37.95
,CHIETLA, 9 476.77, 7 142.47,499.71, 1 833.09,-,1.5
,CHIGMECATITLAN, 2 294.11,-,-, 2 294.11,-,-
,CHIGNAHUAPAN, 61 433.09, 33 008.57,-, 28 424.52,-,-
,CHIGNAUTLA, 4 670.56,526.17,34.75, 3 901.54,-,208.1
,CHILA, 8 953.54,643.29,169.75, 8 140.50,-,-
,CHILA DE LA SAL, 11 130.54,378.05,-, 10 749.49,-,3
,HONEY, 6 296.53,27.5,-, 6 269.03,-,-
,CHILCHOTLA, 7 150.36, 6 876.02,-,274.34,-,-
,CHINANTLA, 6 269.22, 1 176.20,-, 5 093.02,-,-
,DOMINGO ARENAS, 1 001.89,580.01,-,421.88,-,-
,ELOXOCHITLAN, 4 384.66, 4 380.66,-,4,-,-
,EPATLAN, 2 313.58,203.61,-, 2 109.97,-,-
,ESPERANZA, 7 984.83, 3 915.06,-, 4 069.77,-,-
,FRANCISCO Z. MENA, 46 412.94, 7 351.06,-, 39 039.63,-,22.25
,GENERAL FELIPE ANGELES, 7 215.56, 4 165.43,-, 3 046.11,-,4.03
,GUADALUPE, 7 080.72, 4 123.37,-, 2 059.43,-,897.91
,GUADALUPE VICTORIA, 18 219.35, 7 926.75,-, 10 287.60,-,5
,HERMENEGILDO GALEANA, 5 071.08,-,-, 5 062.58,-,8.5
,HUAQUECHULA, 12 485.95, 6 717.83,44.47, 5 702.64,-,21.02
,HUATLATLAUCA, 6 174.42,588.17,464.85, 5 121.40,-,-
,HUAUCHINANGO, 16 835.71,757.92,-, 15 983.04,-,94.75
,HUEHUETLA, 4 095.79,-,-, 4 090.92,-,4.88
,HUEHUETLAN EL CHICO, 10 209.75,518.25, 1 065.25, 8 626.24,-,-
,HUEJOTZINGO, 11 298.37, 2 243.37,-, 9 049.00,-,6
,HUEYAPAN, 5 478.16,-,-, 5 476.41,-,1.75
,HUEYTAMALCO, 32 938.95, 2 126.69,56.5, 28 233.14,-, 2 522.62
,HUEYTLALPAN, 4 037.59,244.99,-, 3 787.93,-,4.67
,HUITZILAN DE SERDAN, 7 342.38,385.71,-, 6 902.22,-,54.45
,HUITZILTEPEC, 3 124.45,31.85,-, 3 090.11,-,2.5
,ATLEQUIZAYAN, 1 378.79,-,-, 1 351.17,-,27.63
,IXCAMILPA DE GUERRERO, 15 248.69, 1 879.06,-, 13 369.64,-,-
,IXCAQUIXTLA, 10 192.90, 1 701.60, 2 500.00, 5 991.31,-,-
,IXTACAMAXTITLAN, 44 029.68, 5 447.18,717.77, 37 314.98,-,549.75
,IXTEPEC, 2 615.76,-,-, 2 600.76,-,15
,IZUCAR DE MATAMOROS, 23 793.51, 8 728.04,791.13, 14 270.60,-,3.75
,JALPAN, 24 517.59, 3 204.74,-, 21 289.16,-,23.7
,JOLALPAN, 17 411.04, 2 638.50, 6 196.09, 8 576.45,-,-
,JONOTLA, 2 667.96,415.25,-, 2 248.46,-,4.25
,JOPALA, 15 142.53,-,-, 15 138.28,-,4.25
,JUAN C. BONILLA, 1 733.60,450.14,-, 1 283.20,-,0.25
,JUAN GALINDO, 1 673.40,-,-, 1 234.55,-,438.85
,JUAN N. MENDEZ, 23 733.43, 1 888.18, 11 358.00, 10 481.92,-,5.33
,LAFRAGUA, 13 509.33, 4 743.08,-, 8 752.25,-,14
,LIBRES, 20 013.07, 4 481.13,-, 15 531.94,-,-
,"MAGDALENA TLATLAUQUITEPEC, LA",982.16,-,564.91,417.25,-,-
,MAZAPILTEPEC DE JUAREZ, 2 821.79, 1 256.23,-, 1 565.57,-,-
,MIXTLA,508.55,249.89,-,258.66,-,-
,MOLCAXAC, 17 589.55, 1 152.61,581.52, 5 407.18,-, 10 448.25
,CA„ADA MORELOS, 14 991.27, 2 913.19,-, 12 078.08,-,-
,NAUPAN, 4 490.94,-,-, 4 471.61,-,19.33
,NAUZONTLA, 2 045.27,-,-, 2 034.77,-,10.5
,NEALTICAN, 1 438.49,206.45,-, 1 231.54,-,0.5
,NICOLAS BRAVO, 90 948.60,101.01,691.69, 90 154.83,-,1.07
,NOPALUCAN, 10 378.89, 5 905.81,-, 4 470.09,-,3
,OCOTEPEC, 4 691.94, 2 577.67,-, 2 114.27,-,-
,OCOYUCAN, 3 831.28, 2 231.86,32.01, 1 567.42,-,-
,OLINTLA, 6 033.00,315.75,-, 5 716.50,-,0.75
,ORIENTAL, 11 180.93, 6 796.67,-, 4 384.26,-,-
,PAHUATLAN, 8 495.27,14.54,-, 8 389.48,-,91.25
,PALMAR DE BRAVO, 24 752.54, 7 497.97,-, 17 227.07,-,27.5
,PANTEPEC, 19 624.82, 3 586.98, 1 000.36, 15 037.48,-,-
,PETLALCINGO, 7 243.84, 2 246.77,456.12, 4 540.94,-,-
,PIAXTLA, 6 133.58,718.97,115, 5 299.61,-,-
,PUEBLA, 21 021.18, 8 756.50,-, 12 255.77,-,8.91
,QUECHOLAC, 11 320.28, 5 852.23,-, 5 468.05,-,-
,QUIMIXTLAN, 9 888.06,-,-, 9 857.96,-,30.1
,RAFAEL LARA GRAJALES, 4 858.30, 3 511.00,-, 1 347.30,-,-
,"REYES DE JUAREZ, LOS", 3 280.05, 1 985.88,-, 1 293.68,-,0.5
,SAN ANDRES CHOLULA, 3 537.07,768.77,-, 2 768.30,-,-
,SAN ANTONIO CA„ADA,693.91,483.96,-,209.95,-,-
,SAN DIEGO LA MESA TOCHIMILTZINGO,673.75,8.5,659.5,5.75,-,-
,SAN FELIPE TEOTLALCINGO, 7 158.97, 1 052.73,-, 6 098.33,-,7.91
,SAN FELIPE TEPATLAN, 4 496.17,-,-, 4 492.17,-,4
,SAN GABRIEL CHILAC, 3 820.49, 1 165.45,260.99, 2 390.05,-,4
,SAN GREGORIO ATZOMPA,705.9,-,-,580.15,-,125.75
,SAN JERONIMO TECUANIPAN, 3 843.22,932.53,-, 2 907.44,-,3.25
,SAN JERONIMO XAYACATLAN, 7 083.98,160.5,206.06, 6 708.09,-,9.33
,SAN JOSE CHIAPA, 9 324.50, 3 603.00,-, 5 721.50,-,-
,SAN JOSE MIAHUATLAN, 8 515.59, 1 801.84,317.26, 3 933.24,-, 2 463.25
,SAN JUAN ATENCO, 6 521.15, 4 208.55,-, 2 312.60,-,-
,SAN JUAN ATZOMPA, 1 726.00,-,-, 1 712.00,-,14
,SAN MARTIN TEXMELUCAN, 6 112.17, 3 365.00,-, 2 747.17,-,-
,SAN MARTIN TOTOLTEPEC,367.75,-,-,367.75,-,-
,SAN MATIAS TLALANCALECA, 3 959.19, 2 632.39,-, 1 326.81,-,-
,SAN MIGUEL IXITLAN, 1 376.63,-,-, 1 374.63,-,2
,SAN MIGUEL XOXTLA,312.61,214.25,-,98.36,-,-
,SAN NICOLAS BUENOS AIRES, 14 371.59, 6 558.75,-, 7 770.59,-,42.25
,SAN NICOLAS DE LOS RANCHOS, 2 282.22, 1 339.94,-,942.28,-,-
,SAN PABLO ANICANO, 2 291.80, 1 479.42,-,803.88,-,8.5
,SAN PEDRO CHOLULA, 2 550.93,156.11,-, 2 394.82,-,-
,SAN PEDRO YELOIXTLAHUACA, 2 916.48, 1 960.00,-,944.74,-,11.73
,SAN SALVADOR EL SECO, 13 051.61, 5 512.78,-, 7 441.58,-,97.25
,SAN SALVADOR EL VERDE, 8 051.60, 2 688.91,-, 5 356.69,-,6
,SAN SALVADOR HUIXCOLOTLA, 1 990.14,932.99,-, 1 057.16,-,-
,SAN SEBASTIAN TLACOTEPEC, 22 630.42,326.52,-, 22 271.40,-,32.5
,SANTA CATARINA TLALTEMPAN, 3 946.58,-,-, 2 816.58,-, 1 130.00
